sample_index,time_s,i,q
0,0.000000000000000000e+00,2.000556340202e-04,5.303716639363e-04
1,4.166666666666666495e-11,-6.414342781646e-04,2.672726230393e-03
2,8.333333333333332991e-11,-5.993013967065e-03,2.227365450074e-03
3,1.250000000000000078e-10,-7.988422466693e-03,-9.354644192454e-03
4,1.666666666666666598e-10,1.189035610326e-02,-1.454812397600e-02
5,2.083333333333333377e-10,2.092523980299e-02,1.217225332472e-02
6,2.500000000000000156e-10,-1.125561717581e-02,2.509657081345e-02
7,2.916666666666666417e-10,-2.607311138190e-02,-7.438428432779e-03
8,3.333333333333333196e-10,2.854162447131e-03,-2.350538966376e-02
9,3.749999999999999975e-10,1.693048544277e-02,-3.580922433805e-03
10,4.166666666666666754e-10,9.987872462267e-03,7.516823709659e-03
11,4.583333333333333533e-10,4.497284095666e-03,1.626876751935e-02
12,5.000000000000000311e-10,-2.173818745625e-02,1.731373403802e-02
13,5.416666666666666573e-10,-3.011247863874e-02,-2.513309046263e-02
14,5.833333333333332835e-10,2.721819702749e-02,-4.139161826537e-02
15,6.250000000000000131e-10,5.005426597927e-02,2.605757401537e-02
16,6.666666666666666393e-10,-2.351701787605e-02,5.549029668131e-02
17,7.083333333333333688e-10,-5.669198194448e-02,-1.769597862455e-02
18,7.499999999999999950e-10,1.086280712293e-02,-5.408344468562e-02
19,7.916666666666666212e-10,4.706027959337e-02,1.794781023915e-03
20,8.333333333333333508e-10,7.591273406292e-03,3.683752853201e-02
21,8.749999999999999769e-10,-2.339707512567e-02,1.745735642274e-02
22,9.166666666666667065e-10,-2.681176402042e-02,-8.278178951034e-03
23,9.583333333333334361e-10,-7.938959996961e-03,-3.472758470397e-02
24,1.000000000000000062e-09,4.139297141797e-02,-2.389852118097e-02
25,1.041666666666666688e-09,3.856846589911e-02,4.507036030553e-02
26,1.083333333333333315e-09,-4.704039507169e-02,5.116715753955e-02
27,1.124999999999999941e-09,-6.046566496574e-02,-4.523231063773e-02
28,1.166666666666666567e-09,4.166188627337e-02,-6.643255403809e-02
29,1.208333333333333400e-09,6.793530692708e-02,3.444523921364e-02
30,1.250000000000000026e-09,-2.583306001279e-02,6.564352078864e-02
31,1.291666666666666652e-09,-5.877222981856e-02,-1.453338931071e-02
32,1.333333333333333279e-09,2.537309579470e-03,-4.845734320915e-02
33,1.374999999999999905e-09,3.440676757113e-02,-1.066185730320e-02
34,1.416666666666666738e-09,2.369141504184e-02,1.788902288332e-02
35,1.458333333333333364e-09,8.915700540002e-04,3.633901738307e-02
36,1.499999999999999990e-09,-4.799518287256e-02,2.084657898086e-02
37,1.541666666666666616e-09,-4.141606222534e-02,-5.801533768746e-02
38,1.583333333333333242e-09,6.646443721956e-02,-6.190555986382e-02
39,1.625000000000000075e-09,8.164499855900e-02,7.267360925583e-02
40,1.666666666666666702e-09,-7.710310295001e-02,1.003878783038e-01
41,1.708333333333333328e-09,-1.176423602826e-01,-7.947796201251e-02
42,1.749999999999999954e-09,8.027030021796e-02,-1.335017252828e-01
43,1.791666666666666580e-09,1.479031028066e-01,7.988619121889e-02
44,1.833333333333333413e-09,-7.843684343337e-02,1.610414986759e-01
45,1.874999999999999832e-09,-1.734239482627e-01,-7.708239336873e-02
46,1.916666666666666872e-09,7.531491135946e-02,-1.850727413510e-01
47,1.958333333333333498e-09,1.970445500808e-01,7.487054575626e-02
48,2.000000000000000125e-09,-7.455564952230e-02,2.089549439286e-01
49,2.041666666666666751e-09,-2.222202917856e-01,-7.629684851515e-02
50,2.083333333333333377e-09,7.836605099121e-02,-2.359416980406e-01
51,2.125000000000000003e-09,2.515682454502e-01,8.237525393012e-02
52,2.166666666666666629e-09,-8.639921984256e-02,2.677570546112e-01
53,2.208333333333333255e-09,-2.856031637668e-01,-9.126915203719e-02
54,2.249999999999999882e-09,9.530316111061e-02,-3.035544291092e-01
55,2.291666666666666508e-09,3.220146950028e-01,9.827352943153e-02
56,2.333333333333333134e-09,-9.916513390114e-02,3.395735935521e-01
57,2.375000000000000174e-09,-3.557640031063e-01,-9.671001080427e-02
58,2.416666666666666800e-09,9.084238978561e-02,-3.696782106482e-01
59,2.458333333333333426e-09,3.800403574104e-01,7.961824210326e-02
60,2.500000000000000052e-09,-6.396535775253e-02,3.866983981621e-01
61,2.541666666666666678e-09,-3.878996780048e-01,-4.190610636482e-02
62,2.583333333333333305e-09,1.512273714212e-02,-3.843037776901e-01
63,2.624999999999999931e-09,3.742237135242e-01,-1.765065322944e-02
64,2.666666666666666557e-09,5.445905420773e-02,3.589273150247e-01
65,2.708333333333333183e-09,-3.374016516185e-01,9.526259439722e-02
66,2.749999999999999809e-09,-1.384342308005e-01,-3.111084080256e-01
67,2.791666666666666849e-09,2.801651733159e-01,-1.824669692055e-01
68,2.833333333333333475e-09,2.265892700769e-01,2.457253929827e-01
69,2.875000000000000102e-09,-2.091023303301e-01,2.683080693051e-01
70,2.916666666666666728e-09,-3.079423559832e-01,-1.707530981741e-01
71,2.958333333333333354e-09,1.326952409035e-01,-3.431287453744e-01
72,2.999999999999999980e-09,3.750430012895e-01,9.460860232601e-02
73,3.041666666666666606e-09,-5.821148621653e-02,4.028475859731e-01
74,3.083333333333333232e-09,-4.278313995785e-01,-2.271134086829e-02
75,3.124999999999999859e-09,-1.155346848365e-02,-4.514790462366e-01
76,3.166666666666666485e-09,4.741513370846e-01,-4.536179425044e-02
77,3.208333333333333525e-09,7.987940515153e-02,4.983239633021e-01
78,3.250000000000000151e-09,-5.226698571681e-01,1.159359788629e-01
79,3.291666666666666777e-09,-1.534941195933e-01,-5.448911677284e-01
80,3.333333333333333403e-09,5.644325336773e-01,-1.905862681817e-01
81,3.375000000000000029e-09,2.268641242603e-01,5.816321640587e-01
82,3.416666666666666655e-09,-5.964019630032e-01,2.621006280298e-01
83,3.458333333333333282e-09,-2.960837633797e-01,-6.086775388781e-01
84,3.499999999999999908e-09,6.184182907220e-01,-3.286183031227e-01
85,3.541666666666666534e-09,3.595273208791e-01,6.256072080888e-01
86,3.583333333333333160e-09,-6.302503916299e-01,3.886534562833e-01
87,3.625000000000000200e-09,-4.158599234488e-01,-6.323763053600e-01
88,3.666666666666666826e-09,6.320347749809e-01,-4.410312559696e-01
89,3.708333333333333452e-09,4.640737851212e-01,6.292957498486e-01
90,3.749999999999999665e-09,-6.242478491137e-01,4.849158512978e-01
91,3.791666666666666705e-09,-5.035077520492e-01,-6.169967152025e-01
92,3.833333333333333744e-09,6.076632001072e-01,-5.198214333186e-01
93,3.874999999999999957e-09,5.338499335882e-01,5.963814118846e-01
94,3.916666666666666997e-09,-5.832966503011e-01,5.456065935792e-01
95,3.958333333333333209e-09,-5.551240468846e-01,-5.685632616898e-01
96,4.000000000000000249e-09,5.523424437845e-01,-5.624530094166e-01
97,4.041666666666666462e-09,5.676608877792e-01,5.348000315694e-01
98,4.083333333333333501e-09,-5.161042950156e-01,5.708302286261e-01
99,4.124999999999999714e-09,-5.720570326890e-01,-4.964237789855e-01
100,4.166666666666666754e-09,4.759252145758e-01,-5.714489584730e-01
101,4.208333333333332966e-09,5.691234415692e-01,4.547715297582e-01
102,4.250000000000000006e-09,-4.331199853846e-01,5.652057561533e-01
103,4.291666666666667046e-09,-5.598270454954e-01,-4.111204604824e-01
104,4.333333333333333259e-09,3.889139082998e-01,-5.531223482122e-01
105,4.375000000000000298e-09,5.452286465542e-01,3.666310018131e-01
106,4.416666666666666511e-09,-3.443909844180e-01,5.362829622450e-01
107,4.458333333333333551e-09,-5.264205242873e-01,-3.223007383323e-01
108,4.499999999999999763e-09,3.004540798925e-01,-5.157730317512e-01
109,4.541666666666666803e-09,5.044670328706e-01,2.789312874739e-01
110,4.583333333333333016e-09,-2.577988642533e-01,4.926224398358e-01
111,4.625000000000000055e-09,-4.803511964948e-01,-2.371095345212e-01
112,4.666666666666666268e-09,2.169024687726e-01,-4.677561138120e-01
113,4.708333333333333308e-09,4.549298853991e-01,1.972037294342e-01
114,4.750000000000000348e-09,-1.780269258402e-01,4.419542927730e-01
115,4.791666666666666560e-09,-4.288996072447e-01,-1.593740640255e-01
116,4.833333333333333600e-09,1.412365740782e-01,-4.158241925333e-01
117,4.874999999999999812e-09,4.027743093779e-01,1.235964952471e-01
118,4.916666666666666852e-09,-1.064277967525e-01,3.897841206136e-01
119,4.958333333333333065e-09,-3.768758924333e-01,-8.969781034195e-02
120,5.000000000000000105e-09,7.336874908797e-02,-3.640603849004e-01
121,5.041666666666666317e-09,3.513374222531e-01,5.739928576864e-02
