sample_index,time_s,i,q
0,0.000000000000000000e+00,6.303291361129e-03,1.671078719602e-02
1,4.166666666666666495e-11,-4.801732614592e-02,1.049115525207e-02
2,8.333333333333332991e-11,-1.595494825445e-02,-7.938850896588e-02
3,1.250000000000000078e-10,1.104547330979e-01,-2.266555723223e-02
4,1.666666666666666598e-10,3.058143199875e-02,1.408452474521e-01
5,2.083333333333333377e-10,-1.701923902167e-01,3.964890232658e-02
6,2.500000000000000156e-10,-4.980261714101e-02,-1.981357838855e-01
7,2.916666666666666417e-10,2.243264373300e-01,-6.096610216794e-02
8,3.333333333333333196e-10,7.305243102296e-02,2.484307061471e-01
9,3.749999999999999975e-10,-2.701340645058e-01,8.596500348505e-02
10,4.166666666666666754e-10,-9.959842351057e-02,-2.891446442965e-01
11,4.583333333333333533e-10,3.051965004910e-01,-1.138394684242e-01
12,5.000000000000000311e-10,1.285681396880e-01,3.180525652288e-01
13,5.416666666666666573e-10,-3.275072571987e-01,1.436587847087e-01
14,5.833333333333332835e-10,-1.589812783124e-01,-3.333887173249e-01
15,6.250000000000000131e-10,3.355606465490e-01,-1.744022517989e-01
16,6.666666666666666393e-10,1.897863569033e-01,3.339237265447e-01
17,7.083333333333333688e-10,-3.284166094586e-01,2.049975515421e-01
18,7.499999999999999950e-10,-2.199003939107e-01,-3.190164681594e-01
19,7.916666666666666212e-10,3.057391039385e-01,-2.343613313443e-01
20,8.333333333333333508e-10,2.482499703397e-01,2.886386140570e-01
21,8.749999999999999769e-10,-2.678066269232e-01,2.614403142865e-01
22,9.166666666666667065e-10,-2.738119557501e-01,-2.433711179224e-01
23,9.583333333333334361e-10,2.154948239626e-01,-2.852512105987e-01
24,1.000000000000000062e-09,2.956521818642e-01,1.843732795652e-01
25,1.041666666666666688e-09,-1.502325017703e-01,3.049177419655e-01
26,1.083333333333333315e-09,-3.129604227935e-01,-1.133263551849e-01
27,1.124999999999999941e-09,7.393363212672e-02,-3.197032041598e-01
28,1.166666666666666567e-09,3.250801922224e-01,3.235488596818e-02
29,1.208333333333333400e-09,1.109094157368e-02,3.290371807200e-01
30,1.250000000000000026e-09,-3.315320891530e-01,5.607005635881e-02
31,1.291666666666666652e-09,-1.022374665779e-01,-3.325352734317e-01
32,1.333333333333333279e-09,3.320297059513e-01,-1.492407110034e-01
33,1.374999999999999905e-09,1.967236150322e-01,3.300110235377e-01
34,1.416666666666666738e-09,-3.264874432164e-01,2.443300290304e-01
35,1.458333333333333364e-09,-2.917075042837e-01,-3.214795472710e-01
36,1.499999999999999990e-09,3.150199405633e-01,-3.385108632138e-01
37,1.541666666666666616e-09,3.844056224156e-01,3.071527845622e-01
