sample_index,time_s,i,q
0,0.000000000000000000e+00,-2.536144621189e-01,-4.032033569148e-01
1,4.166666666666666495e-11,3.836778049971e-01,-2.542275446158e-01
2,8.333333333333332991e-11,2.549870540289e-01,3.640424050157e-01
3,1.250000000000000078e-10,-3.442823293297e-01,2.558710301941e-01
4,1.666666666666666598e-10,-2.568459535519e-01,-3.243783124967e-01
5,2.083333333333333377e-10,3.043081225346e-01,-2.578674285626e-01
6,2.500000000000000156e-10,2.588810387749e-01,2.840480839437e-01
7,2.916666666666666417e-10,-2.635746249522e-01,2.598233602694e-01
8,3.333333333333333196e-10,-2.606231181289e-01,-2.428658211208e-01
9,3.749999999999999975e-10,2.219029075442e-01,-2.612024687269e-01
10,4.166666666666666754e-10,2.614783890126e-01,2.006717324037e-01
11,4.583333333333333533e-10,-1.791641255618e-01,2.613641526127e-01
12,5.000000000000000311e-10,-2.607708714903e-01,-1.573791572242e-01
13,5.416666666666666573e-10,1.353242634090e-01,-2.596090811124e-01
14,5.833333333333332835e-10,2.577903465763e-01,1.130162170396e-01
15,6.250000000000000131e-10,-9.048192587303e-02,2.552288669569e-01
16,6.666666666666666393e-10,-2.518430552387e-01,-6.775904116762e-02
17,7.083333333333333688e-10,4.489636393945e-02,-2.475570716023e-01
18,7.499999999999999950e-10,2.423022885333e-01,2.195403880779e-02
19,7.916666666666666212e-10,9.964712498124e-04,2.360186671909e-01
20,8.333333333333333508e-10,-2.286560257197e-01,2.387263247861e-02
21,8.749999999999999769e-10,-4.658131000896e-02,-2.201751816725e-01
22,9.166666666666667065e-10,2.105489524284e-01,-6.901945582888e-02
23,9.583333333333334361e-10,9.107500781633e-02,1.997629994062e-01
24,1.000000000000000062e-09,-1.878165039708e-01,1.126279891880e-01
25,1.041666666666666688e-09,-1.335517944666e-01,-1.747226651700e-01
26,1.083333333333333315e-09,1.605090118050e-01,-1.537146449971e-01
27,1.124999999999999941e-09,1.729811942055e-01,1.452175237847e-01
28,1.166666666666666567e-09,-1.289045602214e-01,1.912142602255e-01
29,1.208333333333333400e-09,-2.082766612663e-01,-1.116405942522e-01
30,1.250000000000000026e-09,9.350975709077e-02,-2.240331271874e-01
31,1.291666666666666652e-09,2.383522592158e-01,7.460919628784e-02
32,1.333333333333333279e-09,-5.504825558408e-02,2.511085086109e-01
33,1.374999999999999905e-09,-2.621841443723e-01,-3.494748603520e-02
34,1.416666666666666738e-09,1.443750025602e-02,-2.714711798081e-01
35,1.458333333333333364e-09,2.788732279445e-01,-6.342316364887e-03
36,1.499999999999999990e-09,2.724522180701e-02,2.843072563561e-01
37,1.541666666666666616e-09,-2.877052130388e-01,4.811864362955e-02
38,1.583333333333333242e-09,-6.880579657771e-02,-2.890154964007e-01
39,1.625000000000000075e-09,2.882042443174e-01,-8.914737176346e-02
40,1.666666666666666702e-09,1.089832767101e-01,2.852564194408e-01
41,1.708333333333333328e-09,-2.801766705516e-01,1.281544049262e-01
42,1.749999999999999954e-09,-1.465044133207e-01,-2.729899526641e-01
43,1.791666666666666580e-09,2.637418917881e-01,-1.638814856932e-01
44,1.833333333333333413e-09,1.801400607294e-01,2.524988836872e-01
45,1.874999999999999832e-09,-2.393479195975e-01,1.951425033949e-01
46,1.916666666666666872e-09,-2.087606993499e-01,-2.243961356338e-01
47,1.958333333333333498e-09,2.077700864633e-01,-2.208775529830e-01
48,2.000000000000000125e-09,2.313883708812e-01,1.896147477163e-01
