tap_index,coeff_float
0,3.172251356086433494e-02
1,1.400346995065396283e-01
2,1.961880899460316519e-01
3,2.528472736219858699e-02
4,-3.216176131077577022e-02
5,-1.207328699411217982e-01
6,-1.499065596371701725e-01
7,1.293546758515716766e-01
8,2.117566014559739418e-01
9,-7.168736962983979222e-02
10,-1.495246715853315866e-01
11,-1.511547162486947052e-02
12,1.939162824236348448e-02
13,9.367520167891990601e-02
14,1.116931516556485537e-01
15,-1.371440704023149937e-01
16,-1.937748450078171369e-01
17,1.341924511896651628e-01
18,2.047724376167671945e-01
19,-8.894028634863619664e-02
20,-1.495084677492423131e-01
21,1.714720552346830559e-02
22,5.174839576981005856e-02
23,5.970599113786166645e-02
24,5.652511073025453386e-02
25,-1.207785826734663892e-01
26,-1.453233853640932827e-01
27,1.512277399938204148e-01
28,1.941709354726578740e-01
29,-1.455295989863119865e-01
30,-1.958650481907946439e-01
31,1.082574832477606191e-01
32,1.563984439394974224e-01
33,-5.236522153786909300e-02
34,-9.174110656217107640e-02
35,-4.480799607954435645e-03
36,2.267502881730365516e-02
37,4.461257400216461777e-02
38,3.092221393695776532e-02
39,-5.502409838355504235e-02
40,-5.502409838355504235e-02
41,3.092221393695776532e-02
42,4.461257400216461777e-02
43,2.267502881730365516e-02
44,-4.480799607954435645e-03
45,-9.174110656217107640e-02
46,-5.236522153786909300e-02
47,1.563984439394974224e-01
48,1.082574832477606191e-01
49,-1.958650481907946439e-01
50,-1.455295989863119865e-01
51,1.941709354726578740e-01
52,1.512277399938204148e-01
53,-1.453233853640932827e-01
54,-1.207785826734663892e-01
55,5.652511073025453386e-02
56,5.970599113786166645e-02
57,5.174839576981005856e-02
58,1.714720552346830559e-02
59,-1.495084677492423131e-01
60,-8.894028634863619664e-02
61,2.047724376167671945e-01
62,1.341924511896651628e-01
63,-1.937748450078171369e-01
64,-1.371440704023149937e-01
65,1.116931516556485537e-01
66,9.367520167891990601e-02
67,1.939162824236348448e-02
68,-1.511547162486947052e-02
69,-1.495246715853315866e-01
70,-7.168736962983979222e-02
71,2.117566014559739418e-01
72,1.293546758515716766e-01
73,-1.499065596371701725e-01
74,-1.207328699411217982e-01
75,-3.216176131077577022e-02
76,2.528472736219858699e-02
77,1.961880899460316519e-01
78,1.400346995065396283e-01
79,3.172251356086433494e-02
