sample_index,time_s,i,q
0,0.000000000000000000e+00,-1.425592855483e-02,-2.477680659424e-02
1,4.166666666666666495e-11,4.569808240506e-02,4.883883413880e-03
2,8.333333333333332991e-11,-2.250455343821e-02,6.684220943646e-02
3,1.250000000000000078e-10,-8.791300989516e-02,-3.848672474418e-02
4,1.666666666666666598e-10,5.273021093239e-02,-1.086109773863e-01
5,2.083333333333333377e-10,1.286368775074e-01,6.515451105566e-02
6,2.500000000000000156e-10,-7.569909487154e-02,1.476953820355e-01
7,2.916666666666666417e-10,-1.654986932292e-01,-8.432346031840e-02
8,3.333333333333333196e-10,9.100696795872e-02,-1.817701144868e-01
9,3.749999999999999975e-10,1.962475238506e-01,9.574845972260e-02
10,4.166666666666666754e-10,-9.856567173628e-02,2.086867076264e-01
11,4.583333333333333533e-10,-2.188645126982e-01,-9.949445330654e-02
12,5.000000000000000311e-10,9.858780622567e-02,-2.265817779409e-01
13,5.416666666666666573e-10,2.316660074537e-01,9.591476043992e-02
14,5.833333333333332835e-10,-9.155910376603e-02,2.339737511328e-01
15,6.250000000000000131e-10,-2.333926613387e-01,-8.561798472977e-02
16,6.666666666666666393e-10,7.820040872185e-02,-2.298431980544e-01
17,7.083333333333333688e-10,2.232799589431e-01,6.942564851214e-02
18,7.499999999999999950e-10,-5.942159072524e-02,2.136926150389e-01
19,7.916666666666666212e-10,-2.011064374002e-01,-4.832304015674e-02
20,8.333333333333333508e-10,3.627000380220e-02,-1.855824048684e-01
21,8.749999999999999769e-10,1.672168880401e-01,2.340597618324e-02
22,9.166666666666667065e-10,-9.876246997348e-03,1.461409096278e-01
23,9.583333333333334361e-10,-1.225189864871e-01,4.173748699476e-03
24,1.000000000000000062e-09,-1.860001862909e-02,-9.654756366376e-02
25,1.041666666666666688e-09,6.845305580726e-02,-3.326152188542e-02
26,1.083333333333333315e-09,4.802158161755e-02,3.848951613276e-02
27,1.124999999999999941e-09,-6.935957750839e-03,6.274918710630e-02
28,1.166666666666666567e-09,-7.732017236963e-02,2.590664345511e-02
29,1.208333333333333400e-09,-5.971863117941e-02,-9.161826039210e-02
30,1.250000000000000026e-09,1.055359641349e-01,-9.416519937949e-02
31,1.291666666666666652e-09,1.289001311547e-01,1.189753376167e-01
32,1.333333333333333279e-09,-1.318485725312e-01,1.635697028916e-01
33,1.374999999999999905e-09,-1.978167084639e-01,-1.440784380556e-01
34,1.416666666666666738e-09,1.555985636750e-01,-2.312845565203e-01
35,1.458333333333333364e-09,2.636213926963e-01,1.663535669749e-01
36,1.499999999999999990e-09,-1.762990304018e-01,2.944841979608e-01
37,1.541666666666666616e-09,-3.235428142696e-01,-1.854013329455e-01
38,1.583333333333333242e-09,1.936373445232e-01,-3.504838492477e-01
39,1.625000000000000075e-09,3.750144127594e-01,2.009939925193e-01
40,1.666666666666666702e-09,-2.074677114516e-01,3.968656399363e-01
41,1.708333333333333328e-09,-4.157959575045e-01,-2.130637880515e-01
42,1.749999999999999954e-09,2.177956151765e-01,-4.315940530576e-01
43,1.791666666666666580e-09,4.440815102285e-01,2.216838688799e-01
44,1.833333333333333413e-09,-2.247556236530e-01,4.531150764890e-01
45,1.874999999999999832e-09,-4.585885345018e-01,-2.270434213210e-01
46,1.916666666666666872e-09,2.285843093023e-01,-4.604341525193e-01
47,1.958333333333333498e-09,4.586236942166e-01,2.294188639489e-01
48,2.000000000000000125e-09,-2.295902144625e-01,4.531689734996e-01
49,2.041666666666666751e-09,-4.441219451855e-01,-2.291430824462e-01
50,2.083333333333333377e-09,2.281228514997e-01,-4.315743279475e-01
51,2.125000000000000003e-09,4.156567614809e-01,2.265746804313e-01
52,2.166666666666666629e-09,-2.245426726324e-01,3.965375054217e-01
53,2.208333333333333255e-09,-3.744206930536e-01,-2.220691129810e-01
54,2.249999999999999882e-09,2.191937823108e-01,-3.495441582232e-01
55,2.291666666666666508e-09,3.221768590627e-01,2.159533580368e-01
56,2.333333333333333134e-09,-2.123809079801e-01,2.926159270463e-01
57,2.375000000000000174e-09,-2.611833745126e-01,-2.085054828146e-01
58,2.416666666666666800e-09,2.043518108849e-01,-2.282224980077e-01
59,2.458333333333333426e-09,1.940940186073e-01,1.999400974510e-01
60,2.500000000000000052e-09,-1.952859287157e-01,1.591720036911e-01
61,2.541666666666666678e-09,-1.238396174434e-01,-1.904002793213e-01
62,2.583333333333333305e-09,1.852896203784e-01,-8.848474959652e-02
63,2.624999999999999931e-09,5.349557359129e-02,1.799561235383e-01
64,2.666666666666666557e-09,-1.743979551643e-01,1.925608637659e-02
65,2.708333333333333183e-09,1.385831750399e-02,-1.686096533125e-01
66,2.749999999999999809e-09,1.625825790235e-01,4.548518509560e-02
67,2.791666666666666849e-09,-7.527920588001e-02,1.563054323622e-01
68,2.833333333333333475e-09,-1.497648227442e-01,-1.029162241410e-01
69,2.875000000000000102e-09,1.280970147683e-01,-1.429458823586e-01
70,2.916666666666666728e-09,1.358329109551e-01,1.505507770738e-01
71,2.958333333333333354e-09,-1.700383043994e-01,1.284100399064e-01
72,2.999999999999999980e-09,-1.206619032911e-01,-1.863547910247e-01
73,3.041666666666666606e-09,1.993322420793e-01,-1.125743037734e-01
74,3.083333333333333232e-09,1.041348612694e-01,2.088414567946e-01
75,3.124999999999999859e-09,-2.147935604231e-01,9.533363279223e-02
76,3.166666666666666485e-09,-8.616369244707e-02,-2.171410654664e-01
77,3.208333333333333525e-09,2.158784484077e-01,-7.662166128898e-02
78,3.250000000000000151e-09,6.670817765411e-02,2.110422338869e-01
79,3.291666666666666777e-09,-2.027105841081e-01,5.642829961053e-02
80,3.333333333333333403e-09,-4.579183233169e-02,-1.910023971684e-01
81,3.375000000000000029e-09,1.760759238614e-01,-3.481357445604e-02
82,3.416666666666666655e-09,2.351347884017e-02,1.581269182833e-01
83,3.458333333333333282e-09,-1.373863431643e-01,1.191672451957e-02
84,3.499999999999999908e-09,-5.369813821131e-05,-1.141176562161e-01
85,3.541666666666666534e-09,8.861370884335e-02,1.204011542549e-02
86,3.583333333333333160e-09,-2.432433204565e-02,6.119329326466e-02
87,3.625000000000000200e-09,-3.219737836305e-02,-3.675395432131e-02
88,3.666666666666666826e-09,4.927974051602e-02,-1.985078385001e-03
89,3.708333333333333452e-09,-2.907059811464e-02,6.184865112394e-02
90,3.749999999999999665e-09,-7.440436648682e-02,-6.058716896832e-02
91,3.791666666666666705e-09,9.217721649889e-02,-8.688786775637e-02
92,3.833333333333333744e-09,9.923807248935e-02,1.234529893002e-01
93,3.874999999999999957e-09,-1.540310131105e-01,1.113925152921e-01
94,3.916666666666666997e-09,-1.232880632105e-01,-1.835366559926e-01
95,3.958333333333333209e-09,2.116085934922e-01,-1.348616549987e-01
96,4.000000000000000249e-09,1.460510530097e-01,2.379031205533e-01
97,4.041666666666666462e-09,-2.620982587214e-01,1.567955962251e-01
98,4.083333333333333501e-09,-1.670369429031e-01,-2.838976095323e-01
99,4.124999999999999714e-09,3.030339079507e-01,-1.767197914501e-01
100,4.166666666666666754e-09,1.857925684310e-01,3.192722332403e-01
101,4.208333333333332966e-09,-3.324128386853e-01,1.942080731045e-01
102,4.250000000000000006e-09,-2.019240685091e-01,-3.422935660851e-01
103,4.291666666666667046e-09,3.487918158670e-01,-2.089038099091e-01
104,4.333333333333333259e-09,2.151165023421e-01,3.518260489289e-01
105,4.375000000000000298e-09,-3.513568018941e-01,2.205376800583e-01
106,4.416666666666666511e-09,-2.251495018073e-01,-3.473872032478e-01
107,4.458333333333333551e-09,3.399629837713e-01,-2.289409571832e-01
108,4.499999999999999763e-09,2.319079805671e-01,3.291719807172e-01
109,4.541666666666666803e-09,-3.151431412101e-01,2.340534705888e-01
110,4.583333333333333016e-09,-2.353872144455e-01,-2.980450363333e-01
111,4.625000000000000055e-09,2.780839032049e-01,-2.359257178442e-01
112,4.666666666666666268e-09,2.356919427505e-01,2.555012379868e-01
113,4.708333333333333308e-09,-2.305709681321e-01,2.347149565178e-01
114,4.750000000000000348e-09,-2.330294973067e-01,-2.035962372050e-01
115,4.791666666666666560e-09,1.749058402365e-01,-2.306754619705e-01
116,4.833333333333333600e-09,2.276973237620e-01,1.448503517495e-01
117,4.874999999999999812e-09,-1.137979922600e-01,2.241434882836e-01
118,4.916666666666666852e-09,-2.200655970513e-01,-8.213028217334e-02
119,4.958333333333333065e-09,5.023753453438e-02,-2.155177888517e-01
120,5.000000000000000105e-09,2.105559297307e-01,1.851423999598e-02
