sample_index,time_s,i,q
0,0.000000000000000000e+00,-1.417987392709e-02,-2.473335163742e-02
1,4.166666666666666495e-11,4.566175569561e-02,4.962003354526e-03
2,8.333333333333332991e-11,-2.258442789635e-02,6.681328581334e-02
3,1.250000000000000078e-10,-8.789169588305e-02,-3.856802997255e-02
4,1.666666666666666598e-10,5.281261422461e-02,-1.085974093530e-01
5,2.083333333333333377e-10,1.286311205908e-01,6.523767476093e-02
6,2.500000000000000156e-10,-7.578268038370e-02,1.476974298538e-01
7,2.916666666666666417e-10,-1.655084683794e-01,-8.440713199266e-02
8,3.333333333333333196e-10,9.109039691108e-02,-1.817874698279e-01
9,3.749999999999999975e-10,1.962722445560e-01,9.583132746911e-02
10,4.166666666666666754e-10,-9.864767363193e-02,2.087185139854e-01
11,4.583333333333333533e-10,-2.189030636336e-01,-9.957530174663e-02
12,5.000000000000000311e-10,9.866723357606e-02,-2.266266752038e-01
13,5.416666666666666573e-10,2.317168004472e-01,9.599252166622e-02
14,5.833333333333332835e-10,-9.163497873623e-02,2.340299423098e-01
15,6.250000000000000131e-10,-2.334537121105e-01,-8.569178016890e-02
16,6.666666666666666393e-10,7.827195980200e-02,-2.299085351424e-01
17,7.083333333333333688e-10,2.233489811004e-01,6.949482006590e-02
18,7.499999999999999950e-10,-5.948827807519e-02,2.137647000614e-01
19,7.916666666666666212e-10,-2.011809493475e-01,-4.838716955880e-02
20,8.333333333333333508e-10,3.633153250487e-02,-1.856587014080e-01
21,8.749999999999999769e-10,1.672943278296e-01,2.346489210994e-02
22,9.166666666666667065e-10,-9.932568062985e-03,1.462188596480e-01
23,9.583333333333334361e-10,-1.225968292387e-01,4.119975621820e-03
24,1.000000000000000062e-09,-1.854871907186e-02,-9.662470414371e-02
25,1.041666666666666688e-09,6.852892818065e-02,-3.321259545737e-02
26,1.083333333333333315e-09,4.797490395492e-02,3.856359002247e-02
27,1.124999999999999941e-09,-7.007744069213e-03,6.270461207494e-02
28,1.166666666666666567e-09,-7.727753448599e-02,2.583758720173e-02
29,1.208333333333333400e-09,-5.965269617647e-02,-9.157737742894e-02
30,1.250000000000000026e-09,1.054966398761e-01,-9.410272143674e-02
31,1.291666666666666652e-09,1.288413873339e-01,1.189373647245e-01
32,1.333333333333333279e-09,-1.318117354878e-01,1.635149088699e-01
33,1.374999999999999905e-09,-1.977660166641e-01,-1.440425161423e-01
34,1.416666666666666738e-09,1.555633339513e-01,-2.312380550310e-01
35,1.458333333333333364e-09,2.635791049935e-01,1.663188072210e-01
36,1.499999999999999990e-09,-1.762645219885e-01,2.944460834355e-01
37,1.541666666666666616e-09,-3.235087695534e-01,-1.853668635999e-01
38,1.583333333333333242e-09,1.936027109560e-01,-3.504537103208e-01
39,1.625000000000000075e-09,3.749879578152e-01,2.009590028870e-01
40,1.666666666666666702e-09,-2.074321876248e-01,3.968425929665e-01
41,1.708333333333333328e-09,-4.157759925615e-01,-2.130275676683e-01
42,1.749999999999999954e-09,2.177585534588e-01,-4.315767991414e-01
43,1.791666666666666580e-09,4.440665567378e-01,2.216458401965e-01
44,1.833333333333333413e-09,-2.247165228169e-01,4.531019791697e-01
45,1.874999999999999832e-09,-4.585768218184e-01,-2.270031646108e-01
46,1.916666666666666872e-09,2.285428352021e-01,-4.604233323719e-01
47,1.958333333333333498e-09,4.586132609185e-01,2.293761336042e-01
48,2.000000000000000125e-09,-2.295462118549e-01,4.531584149304e-01
49,2.041666666666666751e-09,-4.441107500287e-01,-2.290978142902e-01
50,2.083333333333333377e-09,2.280763468724e-01,-4.315619929237e-01
51,2.125000000000000003e-09,4.156427984855e-01,2.265269901447e-01
52,2.166666666666666629e-09,-2.244938683643e-01,3.965214484765e-01
53,2.208333333333333255e-09,-3.744021049859e-01,-2.220192861821e-01
54,2.249999999999999882e-09,2.191430429071e-01,-3.495226369863e-01
55,2.291666666666666508e-09,3.221520436179e-01,2.159018329502e-01
56,2.333333333333333134e-09,-2.123287394909e-01,2.925875027313e-01
57,2.375000000000000174e-09,-2.611510778252e-01,-2.084528267907e-01
58,2.416666666666666800e-09,2.042988349050e-01,-2.281861207442e-01
59,2.458333333333333426e-09,1.940534112997e-01,1.998869788477e-01
60,2.500000000000000052e-09,-1.952328525666e-01,1.591270782966e-01
61,2.541666666666666678e-09,-1.237903492489e-01,-1.903474364153e-01
62,2.583333333333333305e-09,1.852372051835e-01,-8.843117831086e-02
63,2.624999999999999931e-09,5.343780360594e-02,1.799043321973e-01
64,2.666666666666666557e-09,-1.743469835424e-01,1.919428618793e-02
65,2.708333333333333183e-09,1.392391670899e-02,-1.685596951220e-01
66,2.749999999999999809e-09,1.625338240450e-01,4.555429167762e-02
67,2.791666666666666849e-09,-7.535147078652e-02,1.562580647834e-01
68,2.833333333333333475e-09,-1.497190196334e-01,-1.029912447138e-01
69,2.875000000000000102e-09,1.281743392772e-01,-1.429018122876e-01
70,2.916666666666666728e-09,1.357907327843e-01,1.506299099245e-01
71,2.958333333333333354e-09,-1.701187119566e-01,1.283699017413e-01
72,2.999999999999999980e-09,-1.206239416184e-01,-1.864359079817e-01
73,3.041666666666666606e-09,1.994134783002e-01,-1.125386427797e-01
74,3.083333333333333232e-09,1.041016123446e-01,2.089222045472e-01
75,3.124999999999999859e-09,-2.148732019178e-01,9.530289421631e-02
76,3.166666666666666485e-09,-8.613554925666e-02,-2.172189806093e-01
77,3.208333333333333525e-09,2.159540226757e-01,-7.659618531681e-02
78,3.250000000000000151e-09,6.668542773307e-02,2.111148662287e-01
79,3.291666666666666777e-09,-2.027796947757e-01,5.640832193128e-02
80,3.333333333333333403e-09,-4.577466094091e-02,-1.910674353824e-01
81,3.375000000000000029e-09,1.761363752164e-01,-3.479923188088e-02
82,3.416666666666666655e-09,2.350197682279e-02,1.581823118016e-01
83,3.458333333333333282e-09,-1.374362579097e-01,1.190806484451e-02
84,3.499999999999999908e-09,-4.787353452217e-05,-1.141617273847e-01
85,3.541666666666666534e-09,8.865163325459e-02,1.204312032606e-02
86,3.583333333333333160e-09,-2.432453971356e-02,6.122483418106e-02
87,3.625000000000000200e-09,-3.222236957700e-02,-3.675139331618e-02
88,3.666666666666666826e-09,4.927444447446e-02,-2.003427517406e-03
89,3.708333333333333452e-09,-2.905890714871e-02,6.184065776643e-02
90,3.749999999999999665e-09,-7.439371666106e-02,-6.058207436264e-02
91,3.791666666666666705e-09,9.217857785312e-02,-8.687460453335e-02
92,3.833333333333333744e-09,9.922224032714e-02,1.234605878257e-01
93,3.874999999999999957e-09,-1.540445527491e-01,1.113741592809e-01
94,3.916666666666666997e-09,-1.232672284103e-01,-1.835557654419e-01
95,3.958333333333333209e-09,2.116328291192e-01,-1.348383858804e-01
96,4.000000000000000249e-09,1.460253930061e-01,2.379319701699e-01
97,4.041666666666666462e-09,-2.621311461812e-01,1.567675873992e-01
98,4.083333333333333501e-09,-1.670066257361e-01,-2.839339001029e-01
99,4.124999999999999714e-09,3.030729144025e-01,-1.766872047516e-01
100,4.166666666666666754e-09,1.857577493703e-01,3.193132225866e-01
101,4.208333333333332966e-09,-3.324550394987e-01,1.941710573604e-01
102,4.250000000000000006e-09,-2.018848905332e-01,-3.423361763107e-01
103,4.291666666666667046e-09,3.488340110437e-01,-2.088625032969e-01
104,4.333333333333333259e-09,2.150731003023e-01,3.518669907282e-01
105,4.375000000000000298e-09,-3.513956468790e-01,2.204922159705e-01
106,4.416666666666666511e-09,-2.251020098574e-01,-3.474231117538e-01
107,4.458333333333333551e-09,3.399951288083e-01,-2.288914730626e-01
108,4.499999999999999763e-09,2.318565422220e-01,3.291995567916e-01
109,4.541666666666666803e-09,-3.151653729667e-01,2.340001190059e-01
110,4.583333333333333016e-09,-2.353319944580e-01,-2.980611869176e-01
111,4.625000000000000055e-09,2.780932822524e-01,-2.358686789423e-01
112,4.666666666666666268e-09,2.356331398821e-01,2.555032091457e-01
113,4.708333333333333308e-09,-2.305649560348e-01,2.346544508624e-01
114,4.750000000000000348e-09,-2.329673570089e-01,-2.035817338093e-01
115,4.791666666666666560e-09,1.748824104621e-01,-2.306117628177e-01
116,4.833333333333333600e-09,2.276321497936e-01,1.448176383480e-01
117,4.874999999999999812e-09,-1.137557198604e-01,2.240769323191e-01
118,4.916666666666666852e-09,-2.199977611258e-01,-8.207826045970e-02
119,4.958333333333333065e-09,5.017566051743e-02,-2.154487845503e-01
120,5.000000000000000105e-09,2.104858784123e-01,1.844249935504e-02
121,5.041666666666666317e-09,1.272713386977e-02,2.051658558588e-01
122,5.083333333333333357e-09,-1.995456688458e-01,4.294430715903e-02
123,5.125000000000000397e-09,-7.182985532756e-02,-1.936816130937e-01
124,5.166666666666666609e-09,1.876285483360e-01,-9.901887779622e-02
125,5.208333333333333649e-09,1.241650713695e-01,1.814391454915e-01
126,5.249999999999999862e-09,-1.751631720297e-01,1.469448468396e-01
127,5.291666666666666901e-09,-1.670611808695e-01,-1.688468262639e-01
128,5.333333333333333114e-09,1.625321306206e-01,-1.842471577970e-01
129,5.375000000000000154e-09,1.982691597345e-01,1.562563930871e-01
130,5.416666666666666366e-09,-1.500517450617e-01,2.089296675634e-01
131,5.458333333333333406e-09,-2.160696400966e-01,-1.439447627207e-01
132,5.499999999999999619e-09,1.379561778051e-01,-2.195704437354e-01
133,5.541666666666666659e-09,2.193553103346e-01,1.321006824192e-01
134,5.583333333333333698e-09,-1.263868310548e-01,2.153903066298e-01
135,5.624999999999999911e-09,-2.076848044168e-01,-1.208170416214e-01
136,5.666666666666666951e-09,1.153876957955e-01,-1.962914466252e-01
137,5.708333333333333163e-09,1.813056104360e-01,1.100893375271e-01
138,5.750000000000000203e-09,-1.049069670737e-01,1.628643745654e-01
139,5.791666666666666416e-09,-1.411450037257e-01,-9.982042649788e-02
140,5.833333333333333455e-09,9.480487118049e-02,-1.163629689811e-01
141,5.874999999999999668e-09,8.876952820100e-02,8.983132059602e-02
142,5.916666666666666708e-09,-8.486728037486e-02,5.864889598112e-02
