subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,15156,5550292968.750000,-2.741094685682e+02,5.482189371364e+01,-2.741951507029e+02,-4.991870805182e+01,-2.824348673289e+02,-5.122829885932e+01,-2.823474963983e+02,-5.122663246075e+01
1,15157,5550659179.687500,3.837532559955e+02,-3.837532559955e+02,4.970969027373e+02,-2.142562282112e+02,5.117876352719e+02,-2.209844944385e+02,5.116442384753e+02,-2.208930605431e+02
2,15158,5551025390.625000,-3.837532559955e+02,-5.482189371364e+01,-3.353989553849e+02,-1.926411713633e+02,-3.455089328020e+02,-1.981480872142e+02,-3.453950182960e+02,-1.981050770275e+02
3,15159,5551391601.562500,5.482189371364e+01,3.837532559955e+02,-9.163878596568e+01,3.756819913326e+02,-9.410518513770e+01,3.868902514337e+02,-9.409552838255e+01,3.867686554415e+02
4,15160,5551757812.500000,5.482189371364e+01,-5.482189371364e+01,7.114085666050e+01,-3.029234209344e+01,7.322507494608e+01,-3.123631240420e+01,7.320439807815e+01,-3.122328484465e+01
5,15161,5552124023.437500,1.644656811409e+02,-1.644656811409e+02,2.134281594397e+02,-9.066810099449e+01,2.196623954278e+02,-9.348586597387e+01,2.196002166769e+02,-9.344679145235e+01
6,15162,5552490234.375000,1.644656811409e+02,-1.644656811409e+02,2.132401943055e+02,-9.079688831856e+01,2.194499620385e+02,-9.361029011203e+01,2.193877129751e+02,-9.357112803255e+01
7,15163,5552856445.312500,-5.482189371364e+01,-3.837532559955e+02,9.181826042878e+01,-3.749949762456e+02,9.425819167535e+01,-3.860508674641e+02,9.424820559530e+01,-3.859285259825e+02
8,15164,5553222656.250000,-5.482189371364e+01,5.482189371364e+01,-7.104828503404e+01,3.022065295026e+01,-7.310462304921e+01,3.115170619002e+01,-7.308379095886e+01,3.113863019198e+01
9,15165,5553588867.187500,3.837532559955e+02,-3.837532559955e+02,4.979743225324e+02,-2.103388435487e+02,5.123432198579e+02,-2.168024115324e+02,5.121968195491e+02,-2.167110962010e+02
