freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
5550000000.000000,after_h1,9.229403128847e-01,3.751864267659e-01,-7.705968711529e-02,3.751864267659e-01,38.301834187
5551000000.000000,after_h1,9.229707994598e-01,3.780216856633e-01,-7.702920054016e-02,3.780216856633e-01,38.578995913
5552000000.000000,after_h1,9.206439355775e-01,3.820308197043e-01,-7.935606442248e-02,3.820308197043e-01,39.018576622
5553000000.000000,after_h1,9.201812583837e-01,3.793861898711e-01,-7.981874161625e-02,3.793861898711e-01,38.769177523
5554000000.000000,after_h1,9.180958562609e-01,3.859046212047e-01,-8.190414373908e-02,3.859046212047e-01,39.450052653
5555000000.000000,after_h1,9.193348854899e-01,3.862540269561e-01,-8.066511451012e-02,3.862540269561e-01,39.458716913
5556000000.000000,after_h1,9.192806971383e-01,3.870164146521e-01,-8.071930286170e-02,3.870164146521e-01,39.534454728
5557000000.000000,after_h1,9.178770721829e-01,3.876528669163e-01,-8.212292781711e-02,3.876528669163e-01,39.625612992
5558000000.000000,after_h1,9.147072667376e-01,3.938173118330e-01,-8.529273326244e-02,3.938173118330e-01,40.294779494
5559000000.000000,after_h1,9.174355320661e-01,3.936941277626e-01,-8.256446793387e-02,3.936941277626e-01,40.225857057
5560000000.000000,after_h1,9.137593792500e-01,3.974015739759e-01,-8.624062074997e-02,3.974015739759e-01,40.665151625
5561000000.000000,after_h1,9.168264428810e-01,3.962132368876e-01,-8.317355711897e-02,3.962132368876e-01,40.484907026
5562000000.000000,after_h1,9.119344690693e-01,4.011960605999e-01,-8.806553093066e-02,4.011960605999e-01,41.074787495
5563000000.000000,after_h1,9.122768636189e-01,4.025940086391e-01,-8.772313638115e-02,4.025940086391e-01,41.204039177
5564000000.000000,after_h1,9.143943238227e-01,4.038352408205e-01,-8.560567617726e-02,4.038352408205e-01,41.280895524
5565000000.000000,after_h1,9.142035606942e-01,4.035790636790e-01,-8.579643930584e-02,4.035790636790e-01,41.259797580
5566000000.000000,after_h1,9.114529214580e-01,4.094251461504e-01,-8.854707854197e-02,4.094251461504e-01,41.889083950
5567000000.000000,after_h1,9.127052612608e-01,4.098995995201e-01,-8.729473873923e-02,4.098995995201e-01,41.909193872
5568000000.000000,after_h1,9.119131688280e-01,4.132412400046e-01,-8.808683117203e-02,4.132412400046e-01,42.252528003
