freq_hz,h1_phase_rad,h2_fixed_phase_rad,pre_l1_09_phase_rad,phase_unwrapped_rad,omega_rad,group_delay_s,group_delay_ns
5500000000.000000,-108.844768305348,-0.327249234749,-109.172017540097,-109.172017540097,34557519189.487724304199,5.366460932714056e-09,5.366460933
5501000000.000000,-108.868145698014,-0.337590310567,-109.205736008581,-109.205736008581,34563802374.794906616211,5.091426382482160e-09,5.091426382
5502000000.000000,-108.888066904590,-0.347931386385,-109.235998290975,-109.235998290975,34570085560.102081298828,4.435169441631442e-09,4.435169442
5503000000.000000,-108.903197529319,-0.358272462203,-109.261469991522,-109.261469991522,34576368745.409263610840,4.311575322237868e-09,4.311575322
5504000000.000000,-108.921565606385,-0.368613538021,-109.290179144406,-109.290179144406,34582651930.716445922852,4.928859399484794e-09,4.928859399
5505000000.000000,-108.944453251603,-0.378954613839,-109.323407865442,-109.323407865442,34588935116.023620605469,5.312538106088475e-09,5.312538106
5506000000.000000,-108.967642777493,-0.389295689657,-109.356938467150,-109.356938467150,34595218301.330802917480,4.652374758880919e-09,4.652374759
5507000000.000000,-108.982234565424,-0.399636765475,-109.381871330899,-109.381871330899,34601501486.637977600098,4.386769064968361e-09,4.386769065
5508000000.000000,-109.002086391727,-0.409977841293,-109.412064233020,-109.412064233020,34607784671.945159912109,4.810233633480377e-09,4.810233633
5509000000.000000,-109.021999592367,-0.420318917112,-109.442318509479,-109.442318509479,34614067857.252342224121,4.908565848084318e-09,4.908565848
5510000000.000000,-109.043087097722,-0.430659992930,-109.473747090652,-109.473747090652,34620351042.559516906738,4.708817384343149e-09,4.708817384
5511000000.000000,-109.060490185138,-0.441001068748,-109.501491253886,-109.501491253886,34626634227.866699218750,4.570888630512889e-09,4.570888631
5512000000.000000,-109.079844426654,-0.451342144566,-109.531186571220,-109.531186571220,34632917413.173881530762,4.425065693708217e-09,4.425065694
5513000000.000000,-109.095415049002,-0.461683220384,-109.557098269386,-109.557098269386,34639200598.481056213379,4.185673030595585e-09,4.185673031
5514000000.000000,-109.111760993591,-0.472024296202,-109.583785289793,-109.583785289793,34645483783.788238525391,4.648370534784252e-09,4.648370535
5515000000.000000,-109.133146044259,-0.482365372020,-109.615511416279,-109.615511416279,34651766969.095420837402,4.789926335948118e-09,4.789926336
5516000000.000000,-109.151270831508,-0.492706447838,-109.643977279346,-109.643977279346,34658050154.402595520020,4.346628864073827e-09,4.346628864
5517000000.000000,-109.167085241852,-0.503047523656,-109.670132765508,-109.670132765508,34664333339.709777832031,4.797216842472948e-09,4.797216842
5518000000.000000,-109.190872284632,-0.513388599474,-109.704260884106,-109.704260884106,34670616525.016960144043,4.886094482829431e-09,4.886094483
5519000000.000000,-109.207803564344,-0.523729675292,-109.731533239636,-109.731533239636,34676899710.324134826660,4.376370007437748e-09,4.376370007
5520000000.000000,-109.225185220455,-0.534070751110,-109.759255971565,-109.759255971565,34683182895.631317138672,4.460563825401320e-09,4.460563825
5521000000.000000,-109.243174510887,-0.544411826928,-109.787586337815,-109.787586337815,34689466080.938491821289,4.680859930853904e-09,4.680859931
5522000000.000000,-109.263324489504,-0.554752902746,-109.818077392250,-109.818077392250,34695749266.245674133301,4.905235698089174e-09,4.905235698
5523000000.000000,-109.284133368984,-0.565093978564,-109.849227347548,-109.849227347548,34702032451.552856445312,4.169568732844897e-09,4.169568733
5524000000.000000,-109.295038683866,-0.575435054383,-109.870473738249,-109.870473738249,34708315636.860031127930,4.229174579036858e-09,4.229174579
5525000000.000000,-109.316596592500,-0.585776130201,-109.902372722701,-109.902372722701,34714598822.167213439941,4.895822484311452e-09,4.895822484
5526000000.000000,-109.335879252030,-0.596117206019,-109.931996458049,-109.931996458049,34720882007.474395751953,4.384643305208627e-09,4.384643305
5527000000.000000,-109.351013493649,-0.606458281837,-109.957471775486,-109.957471775486,34727165192.781570434570,4.695427662908066e-09,4.695427663
5528000000.000000,-109.374201584599,-0.616799357655,-109.991000942254,-109.991000942254,34733448378.088752746582,4.591626595274253e-09,4.591626595
5529000000.000000,-109.388031423532,-0.627140433473,-110.015171857005,-110.015171857005,34739731563.395935058594,4.192611940142496e-09,4.192611940
5530000000.000000,-109.406205348445,-0.637481509291,-110.043686857736,-110.043686857736,34746014748.703109741211,4.426634262357616e-09,4.426634262
5531000000.000000,-109.422975998611,-0.647822585109,-110.070798583720,-110.070798583720,34752297934.010292053223,4.119601214276408e-09,4.119601214
5532000000.000000,-109.437291632451,-0.658163660927,-110.095455293378,-110.095455293378,34758581119.317474365234,4.403525813475502e-09,4.403525813
5533000000.000000,-109.457630184357,-0.668504736745,-110.126134921102,-110.126134921102,34764864304.624649047852,4.551686209435036e-09,4.551686209
5534000000.000000,-109.473807656643,-0.678845812563,-110.152653469206,-110.152653469206,34771147489.931831359863,4.624814454351375e-09,4.624814454
5535000000.000000,-109.495065165177,-0.689186888381,-110.184252053558,-110.184252053558,34777430675.239006042480,4.331547536551631e-09,4.331547537
5536000000.000000,-109.507557336685,-0.699527964199,-110.207085300884,-110.207085300884,34783713860.546188354492,4.208207206665574e-09,4.208207207
5537000000.000000,-109.527264904922,-0.709869040017,-110.237133944939,-110.237133944939,34789997045.853370666504,4.870176436390494e-09,4.870176436
5538000000.000000,-109.548075627106,-0.720210115835,-110.268285742941,-110.268285742941,34796280231.160545349121,4.454012922797674e-09,4.454012923
5539000000.000000,-109.562553530394,-0.730551191654,-110.293104722048,-110.293104722048,34802563416.467727661133,4.139768513713559e-09,4.139768514
5540000000.000000,-109.579415340870,-0.740892267472,-110.320307608342,-110.320307608342,34808846601.774909973145,3.992483017783700e-09,3.992483018
5541000000.000000,-109.592042400031,-0.751233343290,-110.343275743321,-110.343275743321,34815129787.082084655762,4.156052329406168e-09,4.156052329
5542000000.000000,-109.610959683098,-0.761574419108,-110.372534102206,-110.372534102206,34821412972.389266967773,4.989578302372179e-09,4.989578302
5543000000.000000,-109.634061138552,-0.771915494926,-110.405976633478,-110.405976633478,34827696157.696449279785,4.547955583109463e-09,4.547955583
5544000000.000000,-109.647428826857,-0.782256570744,-110.429685397601,-110.429685397601,34833979343.003623962402,3.981671389018926e-09,3.981671389
5545000000.000000,-109.663414145255,-0.792597646562,-110.456011791817,-110.456011791817,34840262528.310806274414,4.321048245141729e-09,4.321048245
5546000000.000000,-109.681046568912,-0.802938722380,-110.483985291292,-110.483985291292,34846545713.617988586426,4.543928995755648e-09,4.543928996
5547000000.000000,-109.699832689425,-0.813279798198,-110.513112487623,-110.513112487623,34852828898.925163269043,4.595782564698311e-09,4.595782565
5548000000.000000,-109.718116724247,-0.823620874016,-110.541737598263,-110.541737598263,34859112084.232345581055,4.331845114994366e-09,4.331845115
5549000000.000000,-109.733586108948,-0.833961949834,-110.567548058782,-110.567548058782,34865395269.539520263672,4.441066700771541e-09,4.441066701
5550000000.000000,-109.753242662696,-0.844303025652,-110.597545688348,-110.597545688348,34871678454.846702575684,4.561925467759311e-09,4.561925468
5551000000.000000,-109.770230803455,-0.854644101470,-110.624874904925,-110.624874904925,34877961640.153884887695,4.191622282000344e-09,4.191622282
5552000000.000000,-109.785233990131,-0.864985177288,-110.650219167419,-110.650219167419,34884244825.461059570312,4.581384983841629e-09,4.581384984
5553000000.000000,-109.807120033453,-0.875326253106,-110.682446286559,-110.682446286559,34890528010.768241882324,4.402935281706713e-09,4.402935282
5554000000.000000,-109.819880755035,-0.885667328925,-110.705548083960,-110.705548083960,34896811196.075424194336,4.234427077951116e-09,4.234427078
5555000000.000000,-109.839649261817,-0.896008404743,-110.735657666560,-110.735657666560,34903094381.382598876953,4.721727905207881e-09,4.721727905
5556000000.000000,-109.858533586196,-0.906349480561,-110.764883066757,-110.764883066757,34909377566.689781188965,4.618772218341208e-09,4.618772218
5557000000.000000,-109.877008313660,-0.916690556379,-110.793698870039,-110.793698870039,34915660751.996963500977,4.124205025894770e-09,4.124205026
5558000000.000000,-109.889677723405,-0.927031632197,-110.816709355602,-110.816709355602,34921943937.304138183594,4.309567387989987e-09,4.309567388
5559000000.000000,-109.910481783009,-0.937372708015,-110.847854491024,-110.847854491024,34928227122.611320495605,4.474019644600127e-09,4.474019645
5560000000.000000,-109.925217760759,-0.947713783833,-110.872931544592,-110.872931544592,34934510307.918502807617,4.563288218913705e-09,4.563288219
5561000000.000000,-109.947143602352,-0.958054859651,-110.905198462003,-110.905198462003,34940793493.225677490234,4.430801077631987e-09,4.430801078
5562000000.000000,-109.960214697583,-0.968395935469,-110.928610633052,-110.928610633052,34947076678.532859802246,4.155403337645973e-09,4.155403338
5563000000.000000,-109.978679789109,-0.978737011287,-110.957416800396,-110.957416800396,34953359863.840034484863,4.653413368469944e-09,4.653413368
5564000000.000000,-109.998009062957,-0.989078087105,-110.987087150062,-110.987087150062,34959643049.147216796875,4.757050425813829e-09,4.757050426
5565000000.000000,-110.017776496155,-0.999419162923,-111.017195659078,-111.017195659078,34965926234.454399108887,4.264982469858844e-09,4.264982470
5566000000.000000,-110.030922261701,-1.009760238741,-111.040682500442,-111.040682500442,34972209419.761573791504,4.258850309320892e-09,4.258850309
5567000000.000000,-110.050612635897,-1.020101314559,-111.070713950456,-111.070713950456,34978492605.068756103516,4.505174493286626e-09,4.505174493
5568000000.000000,-110.066853802430,-1.030442390377,-111.097296192807,-111.097296192807,34984775790.375938415527,4.592976933375951e-09,4.592976933
5569000000.000000,-110.087647534628,-1.040783466196,-111.128431000824,-111.128431000824,34991058975.683113098145,4.884621517677482e-09,4.884621518
5570000000.000000,-110.107553615095,-1.051124542014,-111.158678157109,-111.158678157109,34997342160.990295410156,4.277409881221533e-09,4.277409881
5571000000.000000,-110.120716900829,-1.061465617832,-111.182182518661,-111.182182518661,35003625346.297477722168,4.239945113279913e-09,4.239945113
5572000000.000000,-110.140152185137,-1.071806693650,-111.211958878787,-111.211958878787,35009908531.604652404785,4.776634330713942e-09,4.776634331
5573000000.000000,-110.160059706482,-1.082147769468,-111.242207475950,-111.242207475950,35016191716.911834716797,4.771442000959581e-09,4.771442001
5574000000.000000,-110.179429742050,-1.092488845286,-111.271918587336,-111.271918587336,35022474902.219017028809,4.526843544946043e-09,4.526843545
5575000000.000000,-110.196263548545,-1.102829921104,-111.299093469649,-111.299093469649,35028758087.526191711426,4.234516018270662e-09,4.234516018
5576000000.000000,-110.211960088072,-1.113170996922,-111.325131084994,-111.325131084994,35035041272.833374023438,4.700908794342886e-09,4.700908794
