subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
0,15156,5550292968.750000,-2.741094685682e+02,5.482189371364e+01,-2.823474963983e+02,-5.122663246075e+01,-2.462207983744e+02,6.301167420630e+01,1.000000000000e+00,-1.656416945598
1,15157,5550659179.687500,3.837532559955e+02,-3.837532559955e+02,5.116442384753e+02,-2.208930605431e+02,4.059689722251e+02,-3.887500315007e+02,1.000000000000e+00,-1.681642530555
2,15158,5551025390.625000,-3.837532559955e+02,-5.482189371364e+01,-3.453950182960e+02,-1.981050770275e+02,-3.583985565693e+02,-4.362400709603e+01,1.000000000000e+00,-1.706864843804
3,15159,5551391601.562500,5.482189371364e+01,3.837532559955e+02,-9.409552838255e+01,3.867686554415e+02,9.011227790800e+01,3.889239308969e+02,1.000000000000e+00,-1.732083596212
4,15160,5551757812.500000,5.482189371364e+01,-5.482189371364e+01,7.320439807815e+01,-3.122328484465e+01,8.201086959771e+01,-5.066655976163e+01,1.000000000000e+00,-1.757298499923
5,15161,5552124023.437500,1.644656811409e+02,-1.644656811409e+02,2.196002166769e+02,-9.344679145235e+01,1.898993285127e+02,-1.620931320751e+02,1.000000000000e+00,-1.782509268427
6,15162,5552490234.375000,1.644656811409e+02,-1.644656811409e+02,2.193877129751e+02,-9.357112803255e+01,1.894313667863e+02,-1.617434719452e+02,1.000000000000e+00,-1.807715616624
7,15163,5552856445.312500,-5.482189371364e+01,-3.837532559955e+02,9.424820559530e+01,-3.859285259825e+02,-3.572116970637e+01,-3.760322848878e+02,1.000000000000e+00,-1.832917260888
8,15164,5553222656.250000,-5.482189371364e+01,5.482189371364e+01,-7.308379095886e+01,3.113863019198e+01,-2.571527834959e+01,6.387178277976e+01,1.000000000000e+00,-1.858113919133
9,15165,5553588867.187500,3.837532559955e+02,-3.837532559955e+02,5.121968195491e+02,-2.167110962010e+02,4.039297525974e+02,-3.844323274128e+02,1.000000000000e+00,-1.883305310876
10,15166,5553955078.125000,-2.741094685682e+02,1.644656811409e+02,-3.238092486768e+02,4.985659243927e+01,-2.434192930017e+02,1.792893850406e+02,1.000000000000e+00,-1.908491157296
11,15167,5554321289.062500,5.482189371364e+01,3.837532559955e+02,-9.679336862421e+01,3.854755343188e+02,9.094299571077e+01,3.928933310609e+02,1.000000000000e+00,-1.933671181300
12,15168,5554687500.000000,5.482189371364e+01,1.644656811409e+02,-1.174608300190e+01,1.774206602954e+02,8.636370982339e+01,1.737160904967e+02,1.000000000000e+00,-1.958845107580
13,15169,5555053710.937500,2.741094685682e+02,-1.644656811409e+02,3.241601009501e+02,-4.984323425091e+01,2.984306367159e+02,-1.608606996555e+02,1.000000000000e+00,-1.984012662673
14,15170,5555419921.875000,5.482189371364e+01,-3.837532559955e+02,2.010685937890e+02,-3.431525688611e+02,7.272328318252e+01,-3.749082232965e+02,1.000000000000e+00,-2.009173575021
15,15171,5555786132.812500,-2.741094685682e+02,5.482189371364e+01,-2.815850912968e+02,-5.444618369222e+01,-2.461537955422e+02,7.402371703672e+01,1.000000000000e+00,-2.034327575031
16,15172,5556152343.750000,5.482189371364e+01,-1.644656811409e+02,1.159805549816e+02,-1.348045756368e+02,7.762802964077e+01,-1.538899338087e+02,1.000000000000e+00,-2.059474395124
17,15173,5556518554.687500,-3.837532559955e+02,-3.837532559955e+02,-2.147615602997e+02,-5.133175754802e+02,-3.682718151024e+02,-3.607611804350e+02,1.000000000000e+00,-2.084613769798
18,15174,5556884765.625000,-5.482189371364e+01,3.837532559955e+02,-2.013316670814e+02,3.424658562244e+02,-1.712129405333e+01,3.995597420721e+02,1.000000000000e+00,-2.109745435681
19,15175,5557250976.562500,-3.837532559955e+02,2.741094685682e+02,-4.705351888327e+02,1.095785492967e+02,-3.499478081054e+02,2.994294392964e+02,1.000000000000e+00,-2.134869131582
20,15176,5557617187.500000,2.741094685682e+02,-1.644656811409e+02,3.238852973934e+02,-4.776707796338e+01,2.963531826176e+02,-1.571152222323e+02,1.000000000000e+00,-2.159984598546
21,15177,5557983398.437500,-1.644656811409e+02,-3.837532559955e+02,-3.570084619292e+00,-4.274669198278e+02,-1.481573331260e+02,-3.644554720309e+02,1.000000000000e+00,-2.185091579903
22,15178,5558349609.375000,-5.482189371364e+01,-5.482189371364e+01,-3.014071109855e+01,-7.350179659965e+01,-3.046005462749e+01,-3.745067161820e+01,1.000000000000e+00,-2.210189821322
23,15179,5558715820.312500,-3.837532559955e+02,-1.644656811409e+02,-2.980803785337e+02,-3.073467435863e+02,-3.636214432631e+02,-1.373364725328e+02,1.000000000000e+00,-2.235279070856
24,15180,5559082031.250000,-3.837532559955e+02,3.837532559955e+02,-5.150807363244e+02,2.114387278683e+02,-3.479807668960e+02,4.132450123681e+02,1.000000000000e+00,-2.260359078991
25,15181,5559448242.187500,-5.482189371364e+01,-1.644656811409e+02,1.347862307143e+01,-1.772065596680e+02,-3.457396129222e+01,-1.454989716012e+02,1.000000000000e+00,-2.285429598696
26,15182,5559814453.125000,5.482189371364e+01,-1.644656811409e+02,1.172524813681e+02,-1.333619813759e+02,7.504184663225e+01,-1.479583221564e+02,1.000000000000e+00,-2.310490385462
27,15183,5560180664.062500,-1.644656811409e+02,-5.482189371364e+01,-1.333007036430e+02,-1.173146846704e+02,-1.417016384230e+02,-3.131950747012e+01,1.000000000000e+00,-2.335541197355
