sample_index,time_s,i,q
0,0.000000000000000000e+00,1.293715614820e-01,4.162192220470e-01
1,4.166666666666666495e-11,-4.351496138320e-01,1.390795808692e-01
2,8.333333333333332991e-11,-1.472563542962e-01,-4.513477659502e-01
3,1.250000000000000078e-10,4.646849488520e-01,-1.537575040140e-01
4,1.666666666666666598e-10,1.584579105728e-01,4.750610518304e-01
5,2.083333333333333377e-10,-4.824054428856e-01,1.612537568091e-01
6,2.500000000000000156e-10,-1.620643103637e-01,-4.866775158184e-01
7,2.916666666666666417e-10,4.878669195554e-01,-1.608334187114e-01
8,3.333333333333333196e-10,1.575306942984e-01,4.859934681433e-01
9,3.749999999999999975e-10,-4.811067332969e-01,1.521523713138e-01
10,4.166666666666666754e-10,-1.447218198120e-01,-4.732853248113e-01
11,4.583333333333333533e-10,4.626358675110e-01,-1.352897073052e-01
12,5.000000000000000311e-10,1.239338024999e-01,4.492916866795e-01
13,5.416666666666666573e-10,-4.334112170441e-01,1.107584205002e-01
14,5.833333333333332835e-10,-9.589351348489e-02,-4.151761533581e-01
15,6.250000000000000131e-10,3.947893633909e-01,-7.949341552075e-02
16,6.666666666666666393e-10,6.173525474525e-02,3.724725866707e-01
17,7.083333333333333688e-10,-3.484639446063e-01,4.281705057373e-02
18,7.499999999999999950e-10,-2.295551780328e-02,-3.230152896063e-01
19,7.916666666666666212e-10,2.963894225093e-01,-2.383603442263e-03
20,8.333333333333333508e-10,-1.865221426306e-02,2.688572090026e-01
21,8.749999999999999769e-10,-2.406946267400e-01,-3.989483185206e-02
22,9.166666666666667065e-10,6.107959609592e-02,-2.121797755482e-01
23,9.583333333333334361e-10,1.835898834350e-01,8.193751080946e-02
24,1.000000000000000062e-09,-1.021985350201e-01,1.551983410792e-01
25,1.041666666666666688e-09,-1.272717970845e-01,-1.215949310403e-01
26,1.083333333333333315e-09,1.398646200723e-01,-1.000673455337e-01
27,1.124999999999999941e-09,7.382983628126e-02,1.567545025935e-01
28,1.166666666666666567e-09,-1.720237009457e-01,4.878933699512e-02
29,1.208333333333333400e-09,-2.515877421391e-02,-1.854466822659e-01
30,1.250000000000000026e-09,1.968162211606e-01,-3.131778638634e-03
31,1.291666666666666652e-09,-1.711924243843e-02,2.059461633086e-01
32,1.333333333333333279e-09,-2.126739534772e-01,-3.544478523403e-02
33,1.374999999999999905e-09,5.171966455787e-02,-2.168628942056e-01
34,1.416666666666666738e-09,2.184041046321e-01,6.584414931196e-02
35,1.458333333333333364e-09,-7.774480697069e-02,2.172181525642e-01
36,1.499999999999999990e-09,-2.132563368821e-01,-8.737504886158e-02
37,1.541666666666666616e-09,9.471537140540e-02,-2.065016016594e-01
38,1.583333333333333242e-09,1.969690679460e-01,9.977329186190e-02
39,1.625000000000000075e-09,-1.025829805235e-01,1.847061739128e-01
40,1.666666666666666702e-09,-1.697924189559e-01,-1.032045946688e-01
41,1.708333333333333328e-09,1.017233228909e-01,-1.523387123346e-01
42,1.749999999999999954e-09,1.324863319074e-01,9.824815161753e-02
43,1.791666666666666580e-09,-9.291036870430e-02,1.104055034750e-01
44,1.833333333333333413e-09,-8.629361606714e-02,-8.586182187501e-02
45,1.874999999999999832e-09,7.727295247232e-02,-6.037309317123e-02
46,1.916666666666666872e-09,3.288894431885e-02,6.733062743891e-02
