sample_index,time_s,i,q
0,0.000000000000000000e+00,-1.292250641775e-59,-2.245931866129e-59
1,4.166666666666666495e-11,1.297716928095e-58,1.579758445970e-58
2,8.333333333333332991e-11,-8.147079970339e-57,-1.360164052615e-56
3,1.250000000000000078e-10,7.636683521498e-56,9.116168892952e-56
4,1.666666666666666598e-10,-2.506170522623e-54,-4.030798010856e-54
5,2.083333333333333377e-10,2.203005351308e-53,2.578723525188e-53
6,2.500000000000000156e-10,-5.017192855215e-52,-7.792266340427e-52
7,2.916666666666666417e-10,4.152444617126e-51,4.765903813192e-51
8,3.333333333333333196e-10,-7.355152940656e-50,-1.105282042387e-49
9,3.749999999999999975e-10,5.751321465181e-49,6.471686653751e-49
10,4.166666666666666754e-10,-8.423037462580e-48,-1.226710364107e-47
11,4.583333333333333533e-10,6.241275211152e-47,6.884514740836e-47
12,5.000000000000000311e-10,-7.849036227434e-46,-1.109373853730e-45
13,5.416666666666666573e-10,5.525597203092e-45,5.973878432288e-45
14,5.833333333333332835e-10,-6.121111145613e-44,-8.405796830134e-44
15,6.250000000000000131e-10,4.103370560230e-43,4.347172626057e-43
16,6.666666666666666393e-10,-4.077528850206e-42,-5.445639599400e-42
17,7.083333333333333688e-10,2.608102452216e-41,2.706923113871e-41
18,7.499999999999999950e-10,-2.356468395694e-40,-3.063107291730e-40
19,7.916666666666666212e-10,1.440697241656e-39,1.464498307700e-39
20,8.333333333333333508e-10,-1.195916717506e-38,-1.514029816627e-38
21,8.749999999999999769e-10,6.999583193031e-38,6.966517568036e-38
22,9.166666666666667065e-10,-5.381952685458e-37,-6.639517115485e-37
23,9.583333333333334361e-10,3.019737289219e-36,2.941605484652e-36
24,1.000000000000000062e-09,-2.164821117856e-35,-2.603537958207e-35
25,1.041666666666666688e-09,1.165836284542e-34,1.111090430683e-34
26,1.083333333333333315e-09,-7.834177416918e-34,-9.187963807688e-34
27,1.124999999999999941e-09,4.053789841970e-33,3.778101811192e-33
28,1.166666666666666567e-09,-2.564670350934e-32,-2.933865821032e-32
29,1.208333333333333400e-09,1.276326062900e-31,1.162669125493e-31
30,1.250000000000000026e-09,-7.630246287434e-31,-8.515140755729e-31
31,1.291666666666666652e-09,3.655021866629e-30,3.252546845001e-30
32,1.333333333333333279e-09,-2.071141831045e-29,-2.254936845557e-29
33,1.374999999999999905e-09,9.556414934333e-29,8.302289598046e-29
34,1.416666666666666738e-09,-5.146190645965e-28,-5.466063747964e-28
35,1.458333333333333364e-09,2.288621361909e-27,1.939754953664e-27
36,1.499999999999999990e-09,-1.173793382374e-26,-1.216199711340e-26
37,1.541666666666666616e-09,5.033979285105e-26,4.159321455159e-26
38,1.583333333333333242e-09,-2.463583312227e-25,-2.489616438417e-25
39,1.625000000000000075e-09,1.019317064679e-24,8.203330598186e-25
40,1.666666666666666702e-09,-4.767508968177e-24,-4.697895130614e-24
41,1.708333333333333328e-09,1.903750009481e-23,1.490910630670e-23
42,1.749999999999999954e-09,-8.521198242551e-23,-8.185026112497e-23
43,1.791666666666666580e-09,3.284839958687e-22,2.500699697666e-22
44,1.833333333333333413e-09,-1.408648904036e-21,-1.318425909803e-21
45,1.874999999999999832e-09,5.243190970019e-21,3.875619692092e-21
46,1.916666666666666872e-09,-2.156199233142e-20,-1.965460880181e-20
47,1.958333333333333498e-09,7.750167609754e-20,5.555041829011e-20
48,2.000000000000000125e-09,-3.058733573198e-19,-2.713870226802e-19
49,2.041666666666666751e-09,1.061716511719e-18,7.368500169037e-19
50,2.083333333333333377e-09,-4.023845832400e-18,-3.472697777078e-18
51,2.125000000000000003e-09,1.348755332040e-17,9.048596348569e-18
52,2.166666666666666629e-09,-4.911000973407e-17,-4.119389379837e-17
53,2.208333333333333255e-09,1.589390129434e-16,1.028833615878e-16
54,2.249999999999999882e-09,-5.561780430045e-16,-4.530226714033e-16
55,2.291666666666666508e-09,1.737594149862e-15,1.082947080122e-15
56,2.333333333333333134e-09,-5.844715808652e-15,-4.618056136336e-15
57,2.375000000000000174e-09,1.762123320767e-14,1.054833424911e-14
58,2.416666666666666800e-09,-5.697868150207e-14,-4.361904364300e-14
59,2.458333333333333426e-09,1.657080398343e-13,9.500865910815e-14
60,2.500000000000000052e-09,-5.150558053523e-13,-3.814918115914e-13
61,2.541666666666666678e-09,1.444157532418e-12,7.904823858508e-13
62,2.583333333333333305e-09,-4.313966882876e-12,-3.086608910650e-12
63,2.624999999999999931e-09,1.165418642841e-11,6.066782123358e-12
64,2.666666666666666557e-09,-3.344675368692e-11,-2.307434277719e-11
65,2.708333333333333183e-09,8.698752806878e-11,4.287097003381e-11
66,2.749999999999999809e-09,-2.397369893023e-10,-1.591275004642e-10
67,2.791666666666666849e-09,5.996751544105e-10,2.782817003888e-10
68,2.833333333333333475e-09,-1.586096844912e-09,-1.010362145855e-09
69,2.875000000000000102e-09,3.811384036081e-09,1.654326657568e-09
70,2.916666666666666728e-09,-9.666922095098e-09,-5.892151699612e-09
71,2.958333333333333354e-09,2.228453057214e-08,8.972444531846e-09
72,2.999999999999999980e-09,-5.414708736540e-08,-3.146630470008e-08
73,3.041666666666666606e-09,1.195405665596e-07,4.417752520177e-08
74,3.083333333333333232e-09,-2.779288034941e-07,-1.533228716147e-07
75,3.124999999999999859e-09,5.864093949026e-07,1.961741498776e-07
76,3.166666666666666485e-09,-1.302677923456e-06,-6.785721413372e-07
77,3.208333333333333525e-09,2.620154217668e-06,7.785969574222e-07
78,3.250000000000000151e-09,-5.551646244946e-06,-2.712422800218e-06
79,3.291666666666666777e-09,1.061096148649e-05,2.725961105363e-06
80,3.333333333333333403e-09,-2.139883062969e-05,-9.722105562950e-06
81,3.375000000000000029e-09,3.870884349326e-05,8.246283557930e-06
