sample_index,time_s,i,q
0,0.000000000000000000e+00,2.685215436108e-01,-1.480632810564e-01
1,4.166666666666666495e-11,1.480465035862e-01,2.386726564811e-01
2,8.333333333333332991e-11,-2.077252503391e-01,1.474662920637e-01
3,1.250000000000000078e-10,-1.463417384505e-01,-1.760673437387e-01
4,1.666666666666666598e-10,1.440943176537e-01,-1.446944569491e-01
5,2.083333333333333377e-10,1.425481694194e-01,1.122042520101e-01
6,2.500000000000000156e-10,-8.079323391722e-02,1.399282700580e-01
7,2.916666666666666417e-10,-1.368613771180e-01,-5.025069318636e-02
8,3.333333333333333196e-10,2.095482035708e-02,-1.333748796383e-01
9,3.749999999999999975e-10,1.294964872105e-01,-6.731878576946e-03
10,4.166666666666666754e-10,3.246683823130e-02,1.252537907402e-01
11,4.583333333333333533e-10,-1.206738419539e-01,5.593145048455e-02
12,5.000000000000000311e-10,-7.683479443728e-02,-1.157827590774e-01
13,5.416666666666666573e-10,1.106053656532e-01,-9.491703587242e-02
14,5.833333333333332835e-10,1.099524564179e-01,1.051648689026e-01
15,6.250000000000000131e-10,-9.948258336166e-02,1.217520770917e-01
16,6.666666666666666393e-10,-1.301658458112e-01,-9.357770474995e-02
17,7.083333333333333688e-10,8.746713818113e-02,-1.350843637058e-01
18,7.499999999999999950e-10,1.364401306312e-01,8.116538389699e-02
19,7.916666666666666212e-10,-7.468448272931e-02,1.342082960656e-01
20,8.333333333333333508e-10,-1.284069075114e-01,-6.803402247195e-02
21,8.749999999999999769e-10,6.122120530031e-02,-1.190966545502e-01
22,9.166666666666667065e-10,1.063801127411e-01,5.425097532122e-02
23,9.583333333333334361e-10,-4.712620428999e-02,9.040049752603e-02
24,1.000000000000000062e-09,-7.133994414939e-02,-3.984793250996e-02
25,1.041666666666666688e-09,3.241566094853e-02,-4.941733523632e-02
26,1.083333333333333315e-09,2.488570303780e-02,2.482768967925e-02
27,1.124999999999999941e-09,-1.708149690557e-02,-1.970761624195e-03
28,1.166666666666666567e-09,3.084005705168e-02,-9.174152052927e-03
29,1.208333333333333400e-09,1.102755744467e-03,6.138603417382e-02
30,1.250000000000000026e-09,-9.325233135883e-02,-7.135101087538e-03
31,1.291666666666666652e-09,1.554086714740e-02,-1.260665329157e-01
32,1.333333333333333279e-09,1.594445011322e-01,2.411455829090e-02
33,1.374999999999999905e-09,-3.285429130878e-02,1.929948297748e-01
34,1.416666666666666738e-09,-2.263233656953e-01,-4.175583272986e-02
35,1.458333333333333364e-09,5.081217130879e-02,-2.590377445512e-01
36,1.499999999999999990e-09,2.907518866770e-01,6.001312263949e-02
37,1.541666666666666616e-09,-6.934497397654e-02,3.210903998178e-01
38,1.583333333333333242e-09,-3.496928367622e-01,-7.879017685610e-02
39,1.625000000000000075e-09,8.832709449255e-02,-3.762177578634e-01
40,1.666666666666666702e-09,4.003465509874e-01,9.792981019493e-02
41,1.708333333333333328e-09,-1.075680022079e-01,4.217869645499e-01
42,1.749999999999999954e-09,-4.402763129514e-01,-1.172068894472e-01
43,1.791666666666666580e-09,1.268072515830e-01,-4.555843178537e-01
44,1.833333333333333413e-09,4.675155532994e-01,1.363255258396e-01
45,1.874999999999999832e-09,-1.457139817421e-01,4.759114676154e-01
46,1.916666666666666872e-09,-4.806519602848e-01,-1.549209738699e-01
47,1.958333333333333498e-09,1.638912714813e-01,-4.816564974631e-01
48,2.000000000000000125e-09,4.788847554874e-01,1.725664626848e-01
49,2.041666666666666751e-09,-1.808854296505e-01,4.723367875006e-01
50,2.083333333333333377e-09,-4.620527141288e-01,-1.887848902176e-01
51,2.125000000000000003e-09,1.962000001564e-01,-4.481119449243e-01
52,2.166666666666666629e-09,4.306319429592e-01,2.030650093230e-01
53,2.208333333333333255e-09,-2.093139640010e-01,4.097665504478e-01
54,2.249999999999999882e-09,-3.857038985273e-01,-2.148814468836e-01
55,2.291666666666666508e-09,2.197033454148e-01,-3.586639292683e-01
56,2.333333333333333134e-09,3.288955625662e-01,2.237176386045e-01
57,2.375000000000000174e-09,-2.268651919521e-01,2.966735447163e-01
58,2.416666666666666800e-09,-2.622950191582e-01,-2.290905497839e-01
59,2.458333333333333426e-09,2.303427141232e-01,-2.260758630419e-01
60,2.500000000000000052e-09,1.883468358830e-01,2.305758991779e-01
61,2.541666666666666678e-09,-2.297502506550e-01,1.494495886012e-01
62,2.583333333333333305e-09,-1.097325826647e-01,-2.278325193852e-01
63,2.624999999999999931e-09,2.247966791711e-01,-6.954696986365e-02
64,2.666666666666666557e-09,2.924248341084e-02,2.206244793474e-01
65,2.708333333333333183e-09,-2.153059232605e-01,-1.083660938640e-02
66,2.749999999999999809e-09,5.035544371328e-02,-2.088396647237e-01
67,2.791666666666666849e-09,2.012333154768e-01,8.899233560343e-02
68,2.833333333333333475e-09,-1.264423568326e-01,1.925036577596e-01
69,2.875000000000000102e-09,-1.826767572860e-01,-1.624206639302e-01
70,2.916666666666666728e-09,1.966655422127e-01,-1.717879731615e-01
71,2.958333333333333354e-09,1.598818626077e-01,2.289411295361e-01
72,2.999999999999999980e-09,-2.590397886790e-01,1.470119797188e-01
73,3.041666666666666606e-09,-1.332405688723e-01,-2.867841018486e-01
74,3.083333333333333232e-09,3.120284656903e-01,-1.186381548069e-01
75,3.124999999999999859e-09,1.032830327765e-01,3.346602703123e-01
