sample_index,time_s,i,q
0,0.000000000000000000e+00,-1.293512118059e-59,-2.248124312156e-59
1,4.166666666666666495e-11,1.298961548782e-58,1.581262014001e-58
2,8.333333333333332991e-11,-8.154859639539e-57,-1.361462849815e-56
3,1.250000000000000078e-10,7.643852523337e-56,9.124659804015e-56
4,1.666666666666666598e-10,-2.508510916179e-54,-4.034561783663e-54
5,2.083333333333333377e-10,2.205028839751e-53,2.581073059354e-53
6,2.500000000000000156e-10,-5.021773556718e-52,-7.799378981108e-52
7,2.916666666666666417e-10,4.156174943813e-51,4.770149760858e-51
8,3.333333333333333196e-10,-7.361716105603e-50,-1.106267902730e-49
9,3.749999999999999975e-10,5.756372574359e-49,6.477321834151e-49
10,4.166666666666666754e-10,-8.430380628846e-48,-1.227779143725e-47
11,4.583333333333333533e-10,6.246631672527e-47,6.890371049090e-47
12,5.000000000000000311e-10,-7.855718936440e-46,-1.110317576870e-45
13,5.416666666666666573e-10,5.530229212819e-45,5.978840429565e-45
14,5.833333333333332835e-10,-6.126198629520e-44,-8.412775467505e-44
15,6.250000000000000131e-10,4.106728760924e-43,4.350696620114e-43
16,6.666666666666666393e-10,-4.080835650066e-42,-5.450049792881e-42
17,7.083333333333333688e-10,2.610185242894e-41,2.709063535984e-41
18,7.499999999999999950e-10,-2.358332192270e-40,-3.065525907069e-40
19,7.916666666666666212e-10,1.441819303356e-39,1.465627225449e-39
20,8.333333333333333508e-10,-1.196838732261e-38,-1.515194746980e-38
21,8.749999999999999769e-10,7.004896867226e-38,6.971749720385e-38
22,9.166666666666667065e-10,-5.385995058965e-37,-6.644492349620e-37
23,9.583333333333334361e-10,3.021970414633e-36,2.943756616781e-36
24,1.000000000000000062e-09,-2.166404270024e-35,-2.605436794534e-35
25,1.041666666666666688e-09,1.166675611078e-34,1.111881038554e-34
26,1.083333333333333315e-09,-7.839752182055e-34,-9.194481712798e-34
27,1.124999999999999941e-09,4.056629178389e-33,3.780715827859e-33
28,1.166666666666666567e-09,-2.566444984350e-32,-2.935888816489e-32
29,1.208333333333333400e-09,1.277195174546e-31,1.163450733459e-31
30,1.250000000000000026e-09,-7.635376705063e-31,-8.520843631802e-31
31,1.291666666666666652e-09,3.657439776424e-30,3.254669645522e-30
32,1.333333333333333279e-09,-2.072494010985e-29,-2.256402543934e-29
33,1.374999999999999905e-09,9.562551696842e-29,8.307545755566e-29
34,1.416666666666666738e-09,-5.149450311793e-28,-5.469509079075e-28
