sample_index,time_s,i,q
0,0.000000000000000000e+00,-3.258916442666e-03,1.395601285039e-01
1,4.166666666666666495e-11,-1.444128977088e-01,1.706635191781e-01
2,8.333333333333332991e-11,-1.828197286668e-01,2.015401216777e-02
3,1.250000000000000078e-10,-3.241253899128e-02,-7.230531768007e-02
4,1.666666666666666598e-10,7.277559614608e-02,-1.696294297991e-01
5,2.083333333333333377e-10,1.768678171436e-01,-9.826045920013e-02
6,2.500000000000000156e-10,1.093542102379e-01,1.833431915142e-01
7,2.916666666666666417e-10,-1.791119723295e-01,2.131345229806e-01
8,3.333333333333333196e-10,-2.262713020644e-01,-7.678981614289e-02
9,3.749999999999999975e-10,6.429321399738e-02,-2.205746187189e-01
10,4.166666666666666754e-10,2.270079113139e-01,-7.590835993709e-02
11,4.583333333333333533e-10,8.960916323690e-02,1.302291310105e-01
12,5.000000000000000311e-10,-1.262869478592e-01,1.977311232905e-01
13,5.416666666666666573e-10,-2.060948372058e-01,1.178653223337e-02
14,5.833333333333332835e-10,-2.437342089307e-02,-2.395154218081e-01
15,6.250000000000000131e-10,2.390153348607e-01,-1.487879979487e-01
16,6.666666666666666393e-10,1.647591109193e-01,1.900928244376e-01
17,7.083333333333333688e-10,-1.809105287435e-01,2.342268501408e-01
18,7.499999999999999950e-10,-2.474089569275e-01,-7.167359229713e-02
19,7.916666666666666212e-10,5.701996214240e-02,-2.440020411119e-01
20,8.333333333333333508e-10,2.496281923150e-01,-7.324816202644e-02
21,8.749999999999999769e-10,8.859565026234e-02,1.797710350918e-01
22,9.166666666666667065e-10,-1.759021197412e-01,1.977072548068e-01
23,9.583333333333334361e-10,-2.090578410269e-01,-6.464159665717e-02
24,1.000000000000000062e-09,5.249590117072e-02,-2.642291497508e-01
25,1.041666666666666688e-09,2.683410434774e-01,-6.611985067961e-02
26,1.083333333333333315e-09,8.280304047972e-02,2.539591270052e-01
27,1.124999999999999941e-09,-2.498082125164e-01,1.762255950584e-01
28,1.166666666666666567e-09,-1.924536060349e-01,-1.696750462975e-01
29,1.208333333333333400e-09,1.585281545165e-01,-2.383885657970e-01
30,1.250000000000000026e-09,2.493899604121e-01,3.295153612084e-02
31,1.291666666666666652e-09,-1.782419505275e-02,2.409718356429e-01
32,1.333333333333333279e-09,-2.434729973363e-01,1.230517515262e-01
33,1.374999999999999905e-09,-1.383399227907e-01,-1.900404824224e-01
34,1.416666666666666738e-09,1.830421812651e-01,-2.629755399431e-01
35,1.458333333333333364e-09,2.748668608043e-01,1.067301383259e-01
36,1.499999999999999990e-09,-9.163548528475e-02,3.584107858393e-01
37,1.541666666666666616e-09,-3.645173519640e-01,-2.088395937608e-02
38,1.583333333333333242e-09,9.961678437612e-04,-3.946880839308e-01
39,1.625000000000000075e-09,3.943236391839e-01,-3.732848449666e-02
40,1.666666666666666702e-09,5.777368837968e-02,3.738571665385e-01
41,1.708333333333333328e-09,-3.680795045751e-01,4.572728295626e-02
42,1.749999999999999954e-09,-6.273082968118e-02,-3.133232116919e-01
43,1.791666666666666580e-09,3.044963306204e-01,3.640446772202e-03
44,1.833333333333333413e-09,7.230714783755e-03,2.405857660447e-01
45,1.874999999999999832e-09,-2.315865307971e-01,-1.018732726254e-01
46,1.916666666666666872e-09,9.780977546861e-02,-1.853886187463e-01
47,1.958333333333333498e-09,1.786678586118e-01,2.249280552020e-01
48,2.000000000000000125e-09,-2.261661792810e-01,1.711788272651e-01
49,2.041666666666666751e-09,-1.679245922608e-01,-3.394281562352e-01
50,2.083333333333333377e-09,3.427030014445e-01,-2.079793985764e-01
51,2.125000000000000003e-09,2.076123217005e-01,4.113551743945e-01
52,2.166666666666666629e-09,-4.125587685325e-01,2.885532656062e-01
53,2.208333333333333255e-09,-2.887126373921e-01,-4.156363902111e-01
54,2.249999999999999882e-09,4.110063924658e-01,-3.890963851251e-01
55,2.291666666666666508e-09,3.861627723066e-01,3.442221754343e-01
56,2.333333333333333134e-09,-3.315016872894e-01,4.747349595087e-01
57,2.375000000000000174e-09,-4.648016891032e-01,-2.103082710558e-01
58,2.416666666666666800e-09,1.895579431667e-01,-5.089667314057e-01
59,2.458333333333333426e-09,4.890447265585e-01,4.695232018870e-02
60,2.500000000000000052e-09,-2.075311389900e-02,4.650737098570e-01
61,2.541666666666666678e-09,-4.342202939574e-01,1.005611826117e-01
62,2.583333333333333305e-09,-1.276483424276e-01,-3.366587909617e-01
63,2.624999999999999931e-09,2.966869667151e-01,-1.877448871330e-01
64,2.666666666666666557e-09,2.104152204720e-01,1.440298092329e-01
65,2.708333333333333183e-09,-9.949907988030e-02,1.867305967784e-01
66,2.749999999999999809e-09,-2.006159608197e-01,6.665588157526e-02
67,2.791666666666666849e-09,-1.093346863185e-01,-1.005956977619e-01
68,2.833333333333333475e-09,1.039511609537e-01,-2.336553830986e-01
69,2.875000000000000102e-09,2.679559830681e-01,-2.949421446776e-02
70,2.916666666666666728e-09,3.466094296745e-02,2.998109520485e-01
71,2.958333333333333354e-09,-3.213489455874e-01,1.308133813819e-01
72,2.999999999999999980e-09,-1.387521447494e-01,-2.407762444509e-01
73,3.041666666666666606e-09,2.494683633670e-01,-1.257059397372e-01
74,3.083333333333333232e-09,1.285342699239e-01,9.659820006959e-02
75,3.124999999999999859e-09,-9.782435211686e-02,-1.635310861153e-02
76,3.166666666666666485e-09,2.526437576564e-02,1.116101456967e-03
77,3.208333333333333525e-09,2.548963963980e-03,1.981813826714e-01
78,3.250000000000000151e-09,-2.193199582519e-01,1.828470634999e-01
79,3.291666666666666777e-09,-1.991686725726e-01,-8.607031585904e-02
80,3.333333333333333403e-09,9.028275430063e-02,-2.015444964701e-01
81,3.375000000000000029e-09,2.016554685603e-01,9.368283359051e-02
82,3.416666666666666655e-09,-9.622503032995e-02,1.996045033707e-01
83,3.458333333333333282e-09,-1.955170773337e-01,-9.786991077388e-02
84,3.499999999999999908e-09,9.858511320985e-02,-1.895389567564e-01
85,3.541666666666666534e-09,1.818336880481e-01,9.834626349013e-02
86,3.583333333333333160e-09,-9.713780935217e-02,1.725798876133e-01
87,3.625000000000000200e-09,-1.619683712745e-01,-9.495376007678e-02
88,3.666666666666666826e-09,9.179831912674e-02,-1.501991649872e-01
89,3.708333333333333452e-09,1.374784399215e-01,8.768639867097e-02
90,3.749999999999999665e-09,-8.264400631312e-02,1.240154157046e-01
91,3.791666666666666705e-09,-1.100192757226e-01,-7.670849589214e-02
92,3.833333333333333744e-09,6.992867588876e-02,-9.569613789227e-02
93,3.874999999999999957e-09,8.124612321374e-02,6.236477073223e-02
94,3.916666666666666997e-09,-5.408823213812e-02,6.686056275022e-02
95,3.958333333333333209e-09,-5.271938145164e-02,-4.518139949516e-02
96,4.000000000000000249e-09,3.573701023548e-02,-3.898869449293e-02
97,4.041666666666666462e-09,2.581864856691e-02,2.585756304321e-02
98,4.083333333333333501e-09,-1.565453865896e-02,1.334153690483e-02
99,4.124999999999999714e-09,-1.670212745855e-03,-5.247484896567e-03
100,4.166666666666666754e-09,-5.237025717407e-03,9.103178403479e-03
101,4.208333333333332966e-09,-1.890813202480e-02,-1.566655556555e-02
102,4.250000000000000006e-09,2.590406711144e-02,-2.769637251219e-02
103,4.291666666666667046e-09,3.544208990139e-02,3.580928044347e-02
104,4.333333333333333259e-09,-4.524010869583e-02,4.214182458794e-02
105,4.375000000000000298e-09,-4.781400426133e-02,-5.405415569871e-02
106,4.416666666666666511e-09,6.211025923867e-02,-5.249814225066e-02
107,4.458333333333333551e-09,5.625371130254e-02,6.927006253047e-02
108,4.499999999999999763e-09,-7.539959592642e-02,5.915871142724e-02
109,4.541666666666666803e-09,-6.130795479159e-02,-8.037085052552e-02
110,4.583333333333333016e-09,8.406332519753e-02,-6.281109464556e-02
111,4.625000000000000055e-09,6.379042889073e-02,8.636552861050e-02
112,4.666666666666666268e-09,-8.717641814338e-02,6.437851208126e-02
113,4.708333333333333308e-09,-6.471561234957e-02,-8.640675807678e-02
114,4.750000000000000348e-09,8.398038017893e-02,-6.494705193165e-02
115,4.791666666666666560e-09,6.522047160110e-02,7.983533073337e-02
116,4.833333333333333600e-09,-7.392488917943e-02,6.568306038531e-02
117,4.874999999999999812e-09,-6.647879241553e-02,-6.621844484430e-02
118,4.916666666666666852e-09,5.670221972115e-02,-6.774571265066e-02
119,4.958333333333333065e-09,6.961331251197e-02,4.537982687501e-02
120,5.000000000000000105e-09,-3.227265581891e-02,7.220003518503e-02
121,5.041666666666666317e-09,-7.561094850105e-02,-1.742007807607e-02
122,5.083333333333333357e-09,8.794681087250e-04,-7.993562093071e-02
123,5.125000000000000397e-09,8.524623334027e-02,-1.727396317172e-02
124,5.166666666666666609e-09,3.694752301943e-02,9.159595581393e-02
125,5.208333333333333649e-09,-9.901761508245e-02,5.803157819991e-02
126,5.249999999999999862e-09,-8.040027957478e-02,-1.075226739698e-01
127,5.291666666666666901e-09,1.171005398328e-01,-1.039124643645e-01
128,5.333333333333333114e-09,1.284127285089e-01,1.277182142844e-01
129,5.375000000000000154e-09,-1.393202916260e-01,1.537326596019e-01
130,5.416666666666666366e-09,-1.796922190321e-01,-1.518293084328e-01
131,5.458333333333333406e-09,1.651464417085e-01,-2.061012602329e-01
132,5.499999999999999619e-09,2.327611683606e-01,1.791525480219e-01
133,5.541666666666666659e-09,-1.937095311269e-01,2.594666052886e-01
134,5.583333333333333698e-09,-2.860073425512e-01,-2.086620208160e-01
135,5.624999999999999911e-09,2.238393412324e-01,-3.121701638089e-01
136,5.666666666666666951e-09,3.377408175392e-01,2.390577426322e-01
137,5.708333333333333163e-09,-2.541228666994e-01,3.625060000118e-01
138,5.750000000000000203e-09,-3.862553481716e-01,-2.688324120349e-01
139,5.791666666666666416e-09,2.829789634050e-01,-4.087834218525e-01
140,5.833333333333333455e-09,4.298916547614e-01,2.963529457993e-01
141,5.874999999999999668e-09,-3.087456623378e-01,4.493902539281e-01
142,5.916666666666666708e-09,-4.671000277856e-01,-3.199523736204e-01
143,5.958333333333332920e-09,3.297753752404e-01,-4.828541237452e-01
144,5.999999999999999960e-09,4.964996570338e-01,3.380270299133e-01
145,6.041666666666667000e-09,-3.445327109945e-01,5.078992136709e-01
146,6.083333333333333212e-09,-5.169322117604e-01,-3.491336150819e-01
147,6.125000000000000252e-09,3.516894029072e-01,-5.234961067436e-01
148,6.166666666666666465e-09,5.275074278910e-01,3.520806297946e-01
149,6.208333333333333505e-09,-3.502109295771e-01,5.289026350802e-01
150,6.249999999999999717e-09,-5.276387867947e-01,-3.460089189872e-01
151,6.291666666666666757e-09,3.394297931186e-01,-5.236940122688e-01
152,6.333333333333332970e-09,5.170677827642e-01,3.304565865658e-01
153,6.375000000000000009e-09,-3.191010792148e-01,5.077809790820e-01
154,6.416666666666667049e-09,-4.958757545580e-01,-3.054043303367e-01
155,6.458333333333333262e-09,2.894368295582e-01,-4.814151949395e-01
156,6.500000000000000301e-09,4.644827786722e-01,2.712982583825e-01
157,6.541666666666666514e-09,-2.511168611481e-01,4.451816432159e-01
158,6.583333333333333554e-09,-4.236336650282e-01,-2.290484295644e-01
159,6.624999999999999766e-09,2.052749101874e-01,-3.999783627929e-01
160,6.666666666666666806e-09,3.743716352939e-01,1.800026493210e-01
161,6.708333333333333019e-09,-1.534602947856e-01,3.469843470314e-01
162,6.750000000000000059e-09,-3.180007762304e-01,-1.258963787106e-01
163,6.791666666666666271e-09,9.757660992925e-02,-2.876169412722e-01
164,6.833333333333333311e-09,2.560388227924e-01,6.878090860949e-02
165,6.875000000000000351e-09,-3.980021939696e-02,2.234804997000e-01
166,6.916666666666666563e-09,-1.901622181927e-01,-1.093314252457e-02
167,6.958333333333333603e-09,-1.751757499152e-02,-1.563084134460e-01
168,6.999999999999999816e-09,1.221457040459e-01,-4.524864382687e-02
169,7.041666666666666855e-09,7.195988670879e-02,8.790087941065e-02
170,7.083333333333333068e-09,-5.379890039912e-02,9.735789592848e-02
171,7.125000000000000108e-09,-1.211596469393e-01,-2.006093304489e-02
172,7.166666666666666320e-09,-1.309756512115e-02,-1.430960212611e-01
173,7.208333333333333360e-09,1.629151928134e-01,-4.546868737384e-02
174,7.250000000000000400e-09,7.685383081465e-02,1.803858333094e-01
175,7.291666666666666612e-09,-1.953000944416e-01,1.070653432632e-01
176,7.333333333333333652e-09,-1.359280484077e-01,-2.074763272491e-01
177,7.374999999999999865e-09,2.167615022482e-01,-1.632806349933e-01
178,7.416666666666666905e-09,1.889768973635e-01,2.230332975822e-01
179,7.458333333333333944e-09,-2.262018265664e-01,2.128868163230e-01
180,7.499999999999999330e-09,-2.348974710540e-01,-2.262109805099e-01
181,7.541666666666666370e-09,2.230393675299e-01,-2.549137746593e-01
182,7.583333333333333409e-09,2.728590278166e-01,2.167008331781e-01
183,7.625000000000000449e-09,-2.072445539981e-01,2.886752869712e-01
184,7.666666666666667489e-09,-3.023235454669e-01,-1.947547005694e-01
185,7.708333333333332874e-09,1.793496720852e-01,-3.137837279766e-01
186,7.749999999999999914e-09,3.230545005381e-01,1.611809099952e-01
187,7.791666666666666954e-09,-1.404313036425e-01,3.301529003939e-01
188,7.833333333333333994e-09,-3.351137916682e-01,-1.173132060713e-01
189,7.874999999999999379e-09,9.206608320526e-02,-3.379891546580e-01
190,7.916666666666666419e-09,3.388472181607e-01,6.495382433054e-02
191,7.958333333333333458e-09,-3.626174620319e-02,3.377714457831e-01
192,8.000000000000000498e-09,-3.348593885665e-01,-6.293327078667e-03
193,8.041666666666665884e-09,-2.463328952336e-02,-3.302214175019e-01
194,8.083333333333332923e-09,3.239793505893e-01,-5.618897849409e-02
195,8.124999999999999963e-09,8.803745896124e-02,3.162649900060e-01
196,8.166666666666667003e-09,-3.072185856755e-01,1.198392150897e-01
197,8.208333333333334043e-09,-1.512554633990e-01,-2.969872420823e-01
198,8.249999999999999428e-09,2.857232855326e-01,-1.819521174766e-01
199,8.291666666666666468e-09,2.116037009334e-01,2.735826092342e-01
200,8.333333333333333508e-09,-2.607230135519e-01,2.398971600455e-01
201,8.375000000000000547e-09,-2.665355287442e-01,-2.473025585910e-01
202,8.416666666666665933e-09,2.334779458805e-01,-2.912414004458e-01
203,8.458333333333332973e-09,3.137601636203e-01,2.194029453687e-01
204,8.500000000000000012e-09,-2.052268832234e-01,3.338629609626e-01
205,8.541666666666667052e-09,-3.513493355050e-01,-1.910932050530e-01
