tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,5550292968.750000,4.449403363518e-02,4.404214248096e-02,4.437460830419e-02,4.436797184550e-02,-0.088666824,-0.023344925,-0.024644043,2.268595013539,2.572242627695,1.724909989986,1.724909989986,0.303647614156,-0.847332637708,-0.847332637708,-0.543685023553,-0.543685023553
1,5568237304.687500,4.449403363518e-02,4.441785838497e-02,4.442551717009e-02,4.441980615514e-02,-0.014883273,-0.013385731,-0.014502396,4.658935180710,4.786564951505,3.753668575363,3.753668575363,0.127629770796,-1.032896376143,-1.032896376143,-0.905266605347,-0.905266605347
2,5586181640.625000,4.449403363518e-02,4.478587460734e-02,4.451504928518e-02,4.451022844705e-02,0.056785621,0.004101595,0.003160890,3.370563754958,3.244794560160,2.026334445582,2.026334445582,-0.125769194799,-1.218460114577,-1.218460114577,-1.344229309376,-1.344229309376
3,5604125976.562500,4.449403363518e-02,4.510252113801e-02,4.461123882204e-02,4.460725158523e-02,0.117980799,0.022850094,0.022073737,3.809833755400,3.358981796905,1.954957943893,1.954957943893,-0.450851958495,-1.404023853012,-1.404023853012,-1.854875811507,-1.854875811507
4,5622070312.500000,4.449403363518e-02,4.527734272863e-02,4.463028310682e-02,4.462705612487e-02,0.151583039,0.026557259,0.025929205,1.511310953045,0.680811218399,-0.908776373048,-0.908776373048,-0.830499734647,-1.589587591446,-1.589587591446,-2.420087326093,-2.420087326093
5,5640380859.375000,4.449403363518e-02,4.533668953003e-02,4.459728886301e-02,4.459473790551e-02,0.162960523,0.020133586,0.019636741,-0.055675253351,-1.274579943170,-3.053518288121,-3.053518288121,-1.218904689819,-1.778938344951,-1.778938344951,-2.997843034770,-2.997843034770
6,5658325195.312500,4.449403363518e-02,4.534499253893e-02,4.457451999583e-02,4.457251705754e-02,0.164551120,0.015697927,0.015307621,-0.424809462711,-1.988104303858,-3.952606387244,-3.952606387244,-1.563294841147,-1.964502083386,-1.964502083386,-3.527796924532,-3.527796924532
7,5676269531.250000,4.449403363518e-02,4.526301582420e-02,4.451298501109e-02,4.451141355270e-02,0.148834167,0.003698800,0.003392153,1.014999037219,-0.834759449586,-2.984825271406,-2.984825271406,-1.849758486805,-2.150065821820,-2.150065821820,-3.999824308625,-3.999824308625
8,5694213867.187500,4.449403363518e-02,4.513335971884e-02,4.444485313244e-02,4.444359581888e-02,0.123917695,-0.009606067,-0.009851788,1.087080426868,-0.963760373008,-3.299389933263,-3.299389933263,-2.050840799877,-2.335629560255,-2.335629560255,-4.386470360131,-4.386470360131
9,5712158203.125000,4.449403363518e-02,4.493803086483e-02,4.434203666950e-02,4.434098347919e-02,0.086245188,-0.029722840,-0.029929146,3.661072358561,1.483776388111,-1.037416910579,-1.037416910579,-2.177295970450,-2.521193298689,-2.521193298689,-4.698489269139,-4.698489269139
10,5730102539.062500,4.449403363518e-02,4.488930338221e-02,4.440429523236e-02,4.440334299672e-02,0.076821741,-0.017535946,-0.017722214,4.345372812309,2.067282718133,-0.639474318991,-0.639474318991,-2.278090094175,-2.706757037124,-2.706757037124,-4.984847131299,-4.984847131299
11,5748046875.000000,4.449403363518e-02,4.473118570361e-02,4.437007039493e-02,4.436913676382e-02,0.046172631,-0.024233221,-0.024415990,5.161030562046,2.785899942907,-0.106420832651,-0.106420832651,-2.375130619139,-2.892320775558,-2.892320775558,-5.267451394697,-5.267451394697
12,5765991210.937500,4.449403363518e-02,4.465247066072e-02,4.441879198882e-02,4.441780771882e-02,0.030874300,-0.014700709,-0.014893181,8.081770881692,5.558266129676,2.480381615683,2.480381615683,-2.523504752016,-3.077884513993,-3.077884513993,-5.601389266009,-5.601389266009
13,5784301757.812500,4.449403363518e-02,4.456450406732e-02,4.445919503721e-02,4.445810885335e-02,0.013745982,-0.006803671,-0.007015878,7.238947620613,4.480266737555,1.213031470058,1.213031470058,-2.758680883058,-3.267235267498,-3.267235267498,-6.025916150555,-6.025916150555
