tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,2.951443498501241658e-01,2418,2.951660156250000000e-01,2.166577487583420947e-05,0
1,3.511436981303044935e-01,2877,3.511962890625000000e-01,5.259093219550647902e-05,0
2,3.294086777653106313e-01,2699,3.294677734375000000e-01,5.909567218936873090e-05,0
3,2.308892379585395782e-01,1891,2.308349609375000000e-01,-5.427702103957821045e-05,0
4,-2.841053271917021172e-01,-2327,-2.840576171875000000e-01,4.771000420211723991e-05,0
5,-3.394547847441369282e-01,-2781,-3.394775390625000000e-01,-2.275431836307184597e-05,0
6,2.702780632072517703e-02,221,2.697753906250000000e-02,-5.026725822517702502e-05,0
7,1.955262175437460503e-01,1602,1.955566406250000000e-01,3.042308125394965757e-05,0
8,1.914360472066857499e-01,1568,1.914062500000000000e-01,-2.979720668574992182e-05,0
9,2.175463413183998870e-02,178,2.172851562500000000e-02,-2.611850683998870326e-05,0
10,-2.728512959439353680e-01,-2235,-2.728271484375000000e-01,2.414750643536800467e-05,0
11,-1.940951159069681242e-01,-1590,-1.940917968750000000e-01,3.319031968124219745e-06,0
12,2.172064446911839142e-01,1779,2.171630859375000000e-01,-4.335875368391417517e-05,0
13,2.654332049616491274e-01,2174,2.653808593750000000e-01,-5.234558664912736248e-05,0
14,-7.636572513050357558e-02,-626,-7.641601562500000000e-02,-5.029049449642442049e-05,0
15,-2.313701759959729820e-01,-1895,-2.313232421875000000e-01,4.693380847298200820e-05,0
16,-8.241624071964741283e-02,-675,-8.239746093750000000e-02,1.877978214741282681e-05,0
17,1.221570136879050333e-01,1001,1.221923828125000000e-01,3.536912459496666106e-05,0
18,2.015355202860429629e-01,1651,2.015380859375000000e-01,2.565651457037132488e-06,0
19,1.596501869053650047e-02,131,1.599121093750000000e-02,2.619224696349953252e-05,0
20,-2.467985553783958175e-01,-2022,-2.468261718750000000e-01,-2.761649660418252772e-05,0
21,-1.373378798009279589e-01,-1125,-1.373291015625000000e-01,8.778238427958884316e-06,0
22,2.113229291599227067e-01,1731,2.113037109375000000e-01,-1.921822242270665448e-05,0
23,2.089112767123496583e-01,1711,2.088623046875000000e-01,-4.897202484965834657e-05,0
24,-1.118868896974263560e-01,-917,-1.119384765625000000e-01,-5.158686507364396157e-05,0
25,-2.165587746174680861e-01,-1774,-2.165527343750000000e-01,6.040242468086098881e-06,0
26,-1.949655485924789086e-02,-160,-1.953125000000000000e-02,-3.469514075210913817e-05,0
27,1.657159566839223053e-01,1358,1.657714843750000000e-01,5.552769107769472967e-05,0
28,1.459498073463531831e-01,1196,1.459960937500000000e-01,4.628640364681690933e-05,0
29,-7.732821545629346704e-02,-633,-7.727050781250000000e-02,5.770764379346704498e-05,0
30,-2.355243721516831479e-01,-1929,-2.354736328125000000e-01,5.073933918314788016e-05,0
31,-1.926045357110309567e-02,-158,-1.928710937500000000e-02,-2.665580389690433427e-05,0
32,2.684916391638354494e-01,2199,2.684326171875000000e-01,-5.902197633544936650e-05,0
33,9.455293718712660944e-02,775,9.460449218750000000e-02,5.155500037339055819e-05,0
34,-2.409767352033581334e-01,-1974,-2.409667968750000000e-01,9.938328358133352580e-06,0
35,-1.264044967755819926e-01,-1036,-1.264648437500000000e-01,-6.034697441800740414e-05,0
36,1.646147571505300056e-01,1349,1.646728515625000000e-01,5.809441196999443058e-05,0
37,1.052617907132114006e-01,862,1.052246093750000000e-01,-3.718133821140057194e-05,0
38,-6.268772859436932965e-02,-514,-6.274414062500000000e-02,-5.641203063067035117e-05,0
39,-3.617554200096730760e-02,-296,-3.613281250000000000e-02,4.272950096730759872e-05,0
40,-3.617554200096730760e-02,-296,-3.613281250000000000e-02,4.272950096730759872e-05,0
41,-6.268772859436932965e-02,-514,-6.274414062500000000e-02,-5.641203063067035117e-05,0
42,1.052617907132114006e-01,862,1.052246093750000000e-01,-3.718133821140057194e-05,0
43,1.646147571505300056e-01,1349,1.646728515625000000e-01,5.809441196999443058e-05,0
44,-1.264044967755819926e-01,-1036,-1.264648437500000000e-01,-6.034697441800740414e-05,0
45,-2.409767352033581334e-01,-1974,-2.409667968750000000e-01,9.938328358133352580e-06,0
46,9.455293718712660944e-02,775,9.460449218750000000e-02,5.155500037339055819e-05,0
47,2.684916391638354494e-01,2199,2.684326171875000000e-01,-5.902197633544936650e-05,0
48,-1.926045357110309567e-02,-158,-1.928710937500000000e-02,-2.665580389690433427e-05,0
49,-2.355243721516831479e-01,-1929,-2.354736328125000000e-01,5.073933918314788016e-05,0
50,-7.732821545629346704e-02,-633,-7.727050781250000000e-02,5.770764379346704498e-05,0
51,1.459498073463531831e-01,1196,1.459960937500000000e-01,4.628640364681690933e-05,0
52,1.657159566839223053e-01,1358,1.657714843750000000e-01,5.552769107769472967e-05,0
53,-1.949655485924789086e-02,-160,-1.953125000000000000e-02,-3.469514075210913817e-05,0
54,-2.165587746174680861e-01,-1774,-2.165527343750000000e-01,6.040242468086098881e-06,0
55,-1.118868896974263560e-01,-917,-1.119384765625000000e-01,-5.158686507364396157e-05,0
56,2.089112767123496583e-01,1711,2.088623046875000000e-01,-4.897202484965834657e-05,0
57,2.113229291599227067e-01,1731,2.113037109375000000e-01,-1.921822242270665448e-05,0
58,-1.373378798009279589e-01,-1125,-1.373291015625000000e-01,8.778238427958884316e-06,0
59,-2.467985553783958175e-01,-2022,-2.468261718750000000e-01,-2.761649660418252772e-05,0
60,1.596501869053650047e-02,131,1.599121093750000000e-02,2.619224696349953252e-05,0
61,2.015355202860429629e-01,1651,2.015380859375000000e-01,2.565651457037132488e-06,0
62,1.221570136879050333e-01,1001,1.221923828125000000e-01,3.536912459496666106e-05,0
63,-8.241624071964741283e-02,-675,-8.239746093750000000e-02,1.877978214741282681e-05,0
64,-2.313701759959729820e-01,-1895,-2.313232421875000000e-01,4.693380847298200820e-05,0
65,-7.636572513050357558e-02,-626,-7.641601562500000000e-02,-5.029049449642442049e-05,0
66,2.654332049616491274e-01,2174,2.653808593750000000e-01,-5.234558664912736248e-05,0
67,2.172064446911839142e-01,1779,2.171630859375000000e-01,-4.335875368391417517e-05,0
68,-1.940951159069681242e-01,-1590,-1.940917968750000000e-01,3.319031968124219745e-06,0
69,-2.728512959439353680e-01,-2235,-2.728271484375000000e-01,2.414750643536800467e-05,0
70,2.175463413183998870e-02,178,2.172851562500000000e-02,-2.611850683998870326e-05,0
71,1.914360472066857499e-01,1568,1.914062500000000000e-01,-2.979720668574992182e-05,0
72,1.955262175437460503e-01,1602,1.955566406250000000e-01,3.042308125394965757e-05,0
73,2.702780632072517703e-02,221,2.697753906250000000e-02,-5.026725822517702502e-05,0
74,-3.394547847441369282e-01,-2781,-3.394775390625000000e-01,-2.275431836307184597e-05,0
75,-2.841053271917021172e-01,-2327,-2.840576171875000000e-01,4.771000420211723991e-05,0
76,2.308892379585395782e-01,1891,2.308349609375000000e-01,-5.427702103957821045e-05,0
77,3.294086777653106313e-01,2699,3.294677734375000000e-01,5.909567218936873090e-05,0
78,3.511436981303044935e-01,2877,3.511962890625000000e-01,5.259093219550647902e-05,0
79,2.951443498501241658e-01,2418,2.951660156250000000e-01,2.166577487583420947e-05,0
