sample_index,time_s,i,q
0,0.000000000000000000e+00,1.524802181167e-01,-1.880361434174e-01
1,4.166666666666666495e-11,1.923577088341e-01,1.418269418756e-01
2,8.333333333333332991e-11,-1.293003483833e-01,1.965397060936e-01
3,1.250000000000000078e-10,-2.005575019436e-01,-1.150665554544e-01
4,1.666666666666666598e-10,9.931335716326e-02,-2.043833880004e-01
5,2.083333333333333377e-10,2.079868575534e-01,8.224800786137e-02
6,2.500000000000000156e-10,-6.409476901329e-02,2.113349376233e-01
7,2.916666666666666417e-10,-2.143925725093e-01,-4.509224828733e-02
8,3.333333333333333196e-10,2.549056291253e-02,-2.171230543294e-01
9,3.749999999999999975e-10,2.194884953723e-01,5.548361499969e-03
10,4.166666666666666754e-10,1.447025970894e-02,2.214503364618e-01
11,4.583333333333333533e-10,-2.229698849852e-01,3.429890888165e-02
12,5.000000000000000311e-10,-5.367208077301e-02,-2.240088757616e-01
13,5.416666666666666573e-10,2.245300475436e-01,-7.232833050284e-02
14,5.833333333333332835e-10,9.001340047657e-02,2.244977276419e-01
15,6.250000000000000131e-10,-2.238784169582e-01,1.064832625528e-01
16,6.666666666666666393e-10,-1.215070385907e-01,-2.226413676056e-01
17,7.083333333333333688e-10,2.207591452806e-01,-1.348697639955e-01
18,7.499999999999999950e-10,1.463749608050e-01,2.182081686427e-01
19,7.916666666666666212e-10,-2.149692181445e-01,1.558469891969e-01
20,8.333333333333333508e-10,-1.631331490228e-01,-2.110279070369e-01
21,8.749999999999999769e-10,2.063751076550e-01,-1.681055060492e-01
22,9.166666666666667065e-10,1.706624209762e-01,2.010073265548e-01
23,9.583333333333334361e-10,-1.949270226248e-01,1.707297629636e-01
24,1.000000000000000062e-09,-1.682617932824e-01,-1.881428629252e-01
25,1.041666666666666688e-09,1.806699117087e-01,-1.632417087709e-01
26,1.083333333333333315e-09,1.556818389645e-01,1.725297488400e-01
27,1.124999999999999941e-09,-1.637505146477e-01,1.456234950323e-01
28,1.166666666666666567e-09,-1.331364729350e-01,-1.543668791033e-01
29,1.208333333333333400e-09,1.444199341160e-01,-1.183182174715e-01
30,1.250000000000000026e-09,1.012926580433e-01,1.339570086492e-01
31,1.291666666666666652e-09,-1.230314072942e-01,8.220873099477e-02
32,1.333333333333333279e-09,-6.123860721922e-02,-1.117020738654e-01
33,1.374999999999999905e-09,1.000331825015e-01,-3.857564732688e-02
34,1.416666666666666738e-09,1.443210998432e-02,8.809365965351e-02
