freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
5500000000.000000,1.000000000000e+00,1.000000000000e+00,-3.760877119558e-14,-1.701332843580,-1.702410994527,-1.078150946760e-03,2.494355530,10.493044042,10.492633676,12.987399572,12.986989206
5501000000.000000,1.000000000000e+00,1.000000000000e+00,-6.460994025907e-14,-1.767262583732,-1.768338156274,-1.075572541703e-03,2.347077910,10.506244019,10.505811869,12.853321929,12.852889779
5502000000.000000,1.000000000000e+00,1.000000000000e+00,3.085847892971e-14,-1.833358199686,-1.834430920077,-1.072720391606e-03,2.633873398,10.532151611,10.531675809,13.166025009,13.165549207
5503000000.000000,1.000000000000e+00,1.000000000000e+00,-8.196783465703e-14,-1.899613504248,-1.900683097686,-1.069593437225e-03,2.708027174,10.557056523,10.556536941,13.265083697,13.264564115
5504000000.000000,1.000000000000e+00,1.000000000000e+00,-8.678947198980e-15,-1.966022084555,-1.967088275684,-1.066191129412e-03,3.031211946,10.580923508,10.580360100,13.612135454,13.611572046
5505000000.000000,1.000000000000e+00,1.000000000000e+00,-8.100350719048e-14,-2.032577310486,-2.033639823930,-1.062513443826e-03,2.930086111,10.603718731,10.603111536,13.533804842,13.533197647
5506000000.000000,1.000000000000e+00,1.000000000000e+00,-6.075263039286e-14,-2.099272344022,-2.100330904916,-1.058560893592e-03,3.303566461,10.625409923,10.624759067,13.928976384,13.928325528
5507000000.000000,1.000000000000e+00,1.000000000000e+00,6.171695785941e-14,-2.166100149512,-2.167154484052,-1.054334539624e-03,3.170010432,10.645966518,10.645272213,13.815976950,13.815282645
5508000000.000000,1.000000000000e+00,1.000000000000e+00,1.851508735782e-13,-2.233053504835,-2.234103340833,-1.049835998495e-03,1.769935973,10.665359794,10.664622342,12.435295767,12.434558315
5509000000.000000,1.000000000000e+00,1.000000000000e+00,4.628771839456e-14,-2.300125013420,-2.301170080867,-1.045067447746e-03,2.329585768,10.683563009,10.682782802,13.013148777,13.012368570
5510000000.000000,1.000000000000e+00,1.000000000000e+00,-3.760877119558e-14,-2.367307117084,-2.368347148713,-1.040031628491e-03,3.280447143,10.700551524,10.699729043,13.980998667,13.980176186
