freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
5500000000.000000,1.439896632895,-75.094354665919,-1.701332843589,-76.795687509508,2.494355530,10.493044042,12.987399572,13.883519069
5501000000.000000,1.440158432283,-75.110027163935,-1.767262583741,-76.877289747676,2.347077910,10.506244019,12.853321929,13.883519069
5502000000.000000,1.440420231671,-75.123848916792,-1.833358199695,-76.957207116487,2.633873398,10.532151611,13.166025009,13.883519069
5503000000.000000,1.440682031059,-75.143125393208,-1.899613504257,-77.042738897465,2.708027174,10.557056523,13.265083697,13.883519069
5504000000.000000,1.440943830447,-75.157878989894,-1.966022084564,-77.123901074458,3.031211946,10.580923508,13.612135454,13.883519069
5505000000.000000,1.441205629834,-75.181216725929,-2.032577310495,-77.213794036424,2.930086111,10.603718731,13.533804842,13.883519069
5506000000.000000,1.441467429222,-75.194699537903,-2.099272344031,-77.293971881934,3.303566461,10.625409923,13.928976384,13.883519069
5507000000.000000,1.441729228610,-75.222730566425,-2.166100149521,-77.388830715946,3.170010432,10.645966518,13.815976950,13.883519069
5508000000.000000,1.441991027998,-75.234535063841,-2.233053504844,-77.467588568685,1.769935973,10.665359794,12.435295767,13.883519069
5509000000.000000,1.442252827386,-75.244972237826,-2.300125013429,-77.545097251255,2.329585768,10.683563009,13.013148777,13.883519069
5510000000.000000,1.442514626773,-75.263809501979,-2.367307117093,-77.631116619072,3.280447143,10.700551524,13.980998667,13.883519069
5511000000.000000,1.442776426161,-75.286195552400,-2.434592109659,-77.720787662059,3.092824708,10.716302927,13.809127635,13.883519069
5512000000.000000,1.443038225549,-75.302675083502,-2.501972151287,-77.804647234789,2.790896993,10.730797137,13.521694130,13.883519069
5513000000.000000,1.443300024937,-75.321266998358,-2.569439283471,-77.890706281829,2.390239939,10.744016510,13.134256449,13.883519069
5514000000.000000,1.443561824325,-75.332711724431,-2.636985444642,-77.969697169073,2.176432881,10.755945926,12.932378807,13.883519069
5515000000.000000,1.443823623712,-75.348616860560,-2.704602486291,-78.053219346851,2.859837121,10.766572868,13.626409989,13.883519069
5516000000.000000,1.444085423100,-75.368649497590,-2.772282189547,-78.140931687137,2.800002200,10.775887486,13.575889686,13.883519069
5517000000.000000,1.444347222488,-75.383802725932,-2.840016282139,-78.223819008071,2.499003557,10.783882654,13.282886211,13.883519069
5518000000.000000,1.444609021876,-75.400052902450,-2.907796455645,-78.307849358095,2.350314804,10.790554009,13.140868813,13.883519069
5519000000.000000,1.444870821264,-75.413337652816,-2.975614382952,-78.388952035768,2.467515299,10.795899974,13.263415273,13.883519069
5520000000.000000,1.445132620651,-75.431060614191,-3.043461735840,-78.474522350031,2.959398061,10.799921776,13.759319837,13.883519069
5521000000.000000,1.445394420039,-75.450526545651,-3.111330202601,-78.561856748252,2.837656984,10.802623441,13.640280425,13.883519069
5522000000.000000,1.445656219427,-75.466719663533,-3.179211505604,-78.645931169137,2.512898157,10.804011778,13.316909935,13.883519069
5523000000.000000,1.445918018815,-75.482104555209,-3.247097418721,-78.729201973930,2.351263005,10.804096352,13.155359357,13.883519069
5524000000.000000,1.446179818203,-75.496266505861,-3.314979784522,-78.811246290383,2.485767834,10.802889443,13.288657277,13.883519069
5525000000.000000,1.446441617590,-75.513341635073,-3.382850531167,-78.896192166240,2.847087681,10.800405984,13.647493665,13.883519069
5526000000.000000,1.446703416978,-75.532044064836,-3.450701688897,-78.982745753733,2.462930670,10.796663496,13.259594166,13.883519069
5527000000.000000,1.446965216366,-75.544291734666,-3.518525406060,-79.062817140726,2.252559008,10.791682011,13.044241019,13.883519069
5528000000.000000,1.447227015754,-75.560350556162,-3.586313964595,-79.146664520757,3.124478632,10.785483972,13.909962604,13.883519069
5529000000.000000,1.447488815141,-75.583555091138,-3.654059794903,-79.237614886041,2.540885151,10.778094137,13.318979288,13.883519069
5530000000.000000,1.447750614529,-75.592280260655,-3.721755490040,-79.314035750695,2.097959437,10.769539467,12.867498904,13.883519069
5531000000.000000,1.448012413917,-75.609918826956,-3.789393819187,-79.399312646143,2.970599957,10.759849000,13.730448957,13.883519069
5532000000.000000,1.448274213305,-75.629609920662,-3.856967740331,-79.486577660993,2.514397892,10.749053731,13.263451623,13.883519069
5533000000.000000,1.448536012693,-75.641515682743,-3.924470412123,-79.565986094866,2.352115288,10.737186470,13.089301758,13.883519069
5534000000.000000,1.448797812080,-75.659167473093,-3.991895204868,-79.651062677961,2.355511902,10.724281707,13.079793609,13.883519069
5535000000.000000,1.449059611468,-75.671115918286,-4.059235710629,-79.730351628915,2.533854068,10.710375467,13.244229535,13.883519069
5536000000.000000,1.449321410856,-75.691008822398,-4.126485752404,-79.817494574802,3.006369228,10.695505160,13.701874388,13.883519069
5537000000.000000,1.449583210244,-75.708895068204,-4.193639392376,-79.902534460580,2.793125560,10.679709435,13.472834995,13.883519069
5538000000.000000,1.449845009632,-75.726108273360,-4.260690939215,-79.986799212575,2.537070239,10.663028027,13.200098266,13.883519069
