subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
0,15156,5550292968.750000,1.344342184910e+02,-2.240570308183e+02,1.672043957705e+02,-2.081251220421e+02,1.262522646320e+02,-2.199512285337e+02,1.000000000000e+00,1.208399528303
1,15157,5550659179.687500,2.240570308183e+02,-2.240570308183e+02,2.587307891209e+02,-1.950296752236e+02,2.168677206474e+02,-2.228444186378e+02,1.000000000000e+00,1.184475009680
2,15158,5551025390.625000,3.136798431456e+02,4.481140616365e+01,3.112110199541e+02,9.093192466546e+01,3.162418679494e+02,4.511201646576e+01,1.000000000000e+00,1.160571055933
3,15159,5551391601.562500,2.240570308183e+02,2.240570308183e+02,1.941741481512e+02,2.593593557711e+02,2.315519874093e+02,2.281730498015e+02,1.000000000000e+00,1.136687759768
4,15160,5551757812.500000,1.344342184910e+02,2.240570308183e+02,1.033017657707e+02,2.461850111989e+02,1.412002116340e+02,2.309626380603e+02,1.000000000000e+00,1.112825209335
5,15161,5552124023.437500,4.481140616365e+01,-1.344342184910e+02,6.506032635371e+01,-1.292814542658e+02,3.961433453910e+01,-1.260185212668e+02,1.000000000000e+00,1.088983488262
6,15162,5552490234.375000,1.344342184910e+02,4.481140616365e+01,1.290847927361e+02,6.549759208494e+01,1.348754744688e+02,5.159664081336e+01,1.000000000000e+00,1.065162675683
7,15163,5552856445.312500,-2.240570308183e+02,-3.136798431456e+02,-1.780558509820e+02,-3.512741234543e+02,-2.344289326698e+02,-2.990095952669e+02,1.000000000000e+00,1.041362846279
8,15164,5553222656.250000,2.240570308183e+02,-4.481140616365e+01,2.332310634241e+02,-1.020269884293e+01,2.223048731315e+02,-3.963689087776e+01,1.000000000000e+00,1.017584070305
9,15165,5553588867.187500,-2.240570308183e+02,2.240570308183e+02,-2.616671061282e+02,1.906356481684e+02,-2.223154925040e+02,2.402344984135e+02,1.000000000000e+00,0.993826413628
10,15166,5553955078.125000,-4.481140616365e+01,2.240570308183e+02,-8.120531085539e+01,2.188812388372e+02,-4.287577944512e+01,2.364604085393e+02,1.000000000000e+00,0.970089937765
11,15167,5554321289.062500,2.240570308183e+02,1.344342184910e+02,2.045243162350e+02,1.717247842547e+02,2.254072070755e+02,1.414019947888e+02,1.000000000000e+00,0.946374699918
12,15168,5554687500.000000,-2.240570308183e+02,-4.481140616365e+01,-2.190284715660e+02,-8.127140603482e+01,-2.285808555065e+02,-3.013559618310e+01,1.000000000000e+00,0.922680753013
13,15169,5555053710.937500,3.136798431456e+02,1.344342184910e+02,2.951779704479e+02,1.862491668565e+02,3.153308482375e+02,1.397247639354e+02,1.000000000000e+00,0.899008145738
14,15170,5555419921.875000,1.344342184910e+02,2.240570308183e+02,9.939995797435e+01,2.479774000839e+02,1.363597107565e+02,2.334196885499e+02,1.000000000000e+00,0.875356922585
15,15171,5555786132.812500,3.136798431456e+02,-1.344342184910e+02,3.384646981908e+02,-8.444730874989e+01,3.098767027281e+02,-1.298378528453e+02,1.000000000000e+00,0.851727123886
16,15172,5556152343.750000,-2.240570308183e+02,1.344342184910e+02,-2.482050395776e+02,9.857237653122e+01,-2.263906095890e+02,1.491811609947e+02,1.000000000000e+00,0.828118785856
17,15173,5556518554.687500,3.136798431456e+02,4.481140616365e+01,3.087257710199e+02,9.800908405687e+01,3.123710675191e+02,5.190485599958e+01,1.000000000000e+00,0.804531940639
18,15174,5556884765.625000,-2.240570308183e+02,3.136798431456e+02,-2.796470451925e+02,2.777090024618e+02,-2.260835964051e+02,3.280659190706e+02,1.000000000000e+00,0.780966616340
19,15175,5557250976.562500,-2.240570308183e+02,-4.481140616365e+01,-2.179559472505e+02,-8.405156810770e+01,-2.294387635133e+02,-3.279280423245e+01,1.000000000000e+00,0.757422837079
20,15176,5557617187.500000,2.240570308183e+02,-4.481140616365e+01,2.334980011611e+02,-5.881848130710e+00,2.208973949288e+02,-3.558970858938e+01,1.000000000000e+00,0.733900623028
21,15177,5557983398.437500,3.136798431456e+02,-1.344342184910e+02,3.395382813635e+02,-7.990796255417e+01,3.104657003117e+02,-1.256648215250e+02,1.000000000000e+00,0.710399990453
22,15178,5558349609.375000,-3.136798431456e+02,-3.136798431456e+02,-2.602510034461e+02,-3.715125860151e+02,-3.209252693130e+02,-3.037166297084e+02,1.000000000000e+00,0.686920951765
