sample_index,time_s,i,q
0,0.000000000000000000e+00,-4.099558160322e-02,2.124460664187e-01
1,4.166666666666666495e-11,-2.031678426327e-01,-5.937658444586e-02
2,8.333333333333332991e-11,7.769535624572e-02,-1.927426657135e-01
3,1.250000000000000078e-10,1.812777199915e-01,9.577125778144e-02
4,1.666666666666666598e-10,-1.134213997249e-01,1.688892415982e-01
5,2.083333333333333377e-10,-1.557010311573e-01,-1.304627215128e-01
6,2.500000000000000156e-10,1.467141078127e-01,-1.418428824915e-01
7,2.916666666666666417e-10,1.274489473882e-01,1.619985168788e-01
8,3.333333333333333196e-10,-1.761450946551e-01,1.126560572645e-01
9,3.749999999999999975e-10,-9.760202310974e-02,-1.889912483745e-01
10,4.166666666666666754e-10,2.003846536192e-01,-8.242393534930e-02
11,4.583333333333333533e-10,6.725648526059e-02,2.101851693665e-01
12,5.000000000000000311e-10,-2.182666364178e-01,5.223032929196e-02
13,5.416666666666666573e-10,-3.747051707493e-02,-2.245185358103e-01
14,5.833333333333332835e-10,2.288474853125e-01,-2.309500310067e-02
15,6.250000000000000131e-10,9.213260953758e-03,2.311785538967e-01
16,6.666666666666666393e-10,-2.314563761412e-01,-4.074982321516e-03
17,7.083333333333333688e-10,1.668087569140e-02,-2.296460508189e-01
18,7.499999999999999950e-10,2.257338104483e-01,2.852742315825e-02
19,7.916666666666666212e-10,-3.955029999414e-02,2.197274512893e-01
20,8.333333333333333508e-10,-2.116565161238e-01,-4.969849592943e-02
21,8.749999999999999769e-10,5.893477726979e-02,-2.015722251400e-01
22,9.166666666666667065e-10,1.895471532948e-01,6.723596224818e-02
23,9.583333333333334361e-10,-7.459300632623e-02,1.756746556312e-01
24,1.000000000000000062e-09,-1.600680451335e-01,-8.101089661263e-02
25,1.041666666666666688e-09,8.650835703384e-02,-1.428595307725e-01
26,1.083333333333333315e-09,1.241989263898e-01,9.111736834198e-02
27,1.124999999999999941e-09,-9.488250944635e-02,1.042521439577e-01
28,1.166666666666666567e-09,-8.319948748573e-02,-9.786012887673e-02
29,1.208333333333333400e-09,1.001173573995e-01,-6.123376639661e-02
30,1.250000000000000026e-09,3.855824953352e-02,1.017309748828e-01
31,1.291666666666666652e-09,-1.027861464185e-01,1.538448304393e-02
32,1.333333333333333279e-09,8.070002799055e-03,-1.033750444304e-01
33,1.374999999999999905e-09,1.035953750086e-01,3.158407126560e-02
34,1.416666666666666738e-09,-5.493541356211e-02,1.035488279919e-01
35,1.458333333333333364e-09,-1.033394713490e-01,-7.790301132631e-02
36,1.499999999999999990e-09,1.002695980949e-01,-1.030721111844e-01
37,1.541666666666666616e-09,1.028506391886e-01,1.218240904648e-01
38,1.583333333333333242e-09,-1.423639598786e-01,1.027763895773e-01
39,1.625000000000000075e-09,-1.029465274985e-01,-1.616975165373e-01
40,1.666666666666666702e-09,1.796460778675e-01,-1.034524905448e-01
41,1.708333333333333328e-09,1.043785043825e-01,1.960459952403e-01
42,1.749999999999999954e-09,-2.107505142386e-01,1.058001926189e-01
43,1.791666666666666580e-09,-1.077832998711e-01,-2.236314456824e-01
44,1.833333333333333413e-09,2.345806268213e-01,-1.103825456018e-01
45,1.874999999999999832e-09,1.136406246567e-01,2.435111545664e-01
46,1.916666666666666872e-09,-2.503583753318e-01,1.175873685970e-01
47,1.958333333333333498e-09,-1.222390798999e-01,-2.550806189509e-01
48,2.000000000000000125e-09,2.576596671959e-01,-1.275980489072e-01
49,2.041666666666666751e-09,1.336522610889e-01,2.581009506165e-01
50,2.083333333333333377e-09,-2.564334706912e-01,1.403752997574e-01
51,2.125000000000000003e-09,-1.477264468744e-01,-2.527094476101e-01
52,2.166666666666666629e-09,2.470036973347e-01,-1.556509820478e-01
53,2.208333333333333255e-09,1.640806772645e-01,2.394127448801e-01
54,2.249999999999999882e-09,-2.300536839786e-01,1.729344823760e-01
55,2.291666666666666508e-09,-1.821193938742e-01,-2.190627963869e-01
56,2.333333333333333134e-09,2.065939470443e-01,-1.915314971068e-01
57,2.375000000000000174e-09,2.010571698035e-01,1.928167740406e-01
58,2.416666666666666800e-09,-1.779146948747e-01,2.105744326551e-01
59,2.458333333333333426e-09,-2.199544307282e-01,-1.620827527526e-01
60,2.500000000000000052e-09,1.455253286430e-01,-2.290630277366e-01
61,2.541666666666666678e-09,2.377624936521e-01,1.284537464745e-01
62,2.583333333333333305e-09,-1.110838001794e-01,2.459132648325e-01
63,2.624999999999999931e-09,-2.533757548049e-01,-9.363323226330e-02
64,2.666666666666666557e-09,7.631919418689e-02,-2.600121930679e-01
65,2.708333333333333183e-09,2.656884687864e-01,5.935571907684e-02
66,2.749999999999999809e-09,-4.295123714117e-02,2.702759560503e-01
67,2.791666666666666849e-09,-2.736532974598e-01,-2.730616364181e-02
68,2.833333333333333475e-09,1.261058838747e-02,-2.757081231788e-01
69,2.875000000000000102e-09,2.763386832717e-01,-9.579055402427e-04
70,2.916666666666666728e-09,1.323626770881e-02,2.754553720832e-01
71,2.958333333333333354e-09,-2.729821246455e-01,2.407782670538e-02
72,2.999999999999999980e-09,-3.335393497583e-02,-2.688576665655e-01
