freq_hz,h_db,phase_rad
5500000000.000000,-0.224041708,-74.767105431170
5501000000.000000,-0.220782209,-74.772436853368
5502000000.000000,-0.209710513,-74.775917530407
5503000000.000000,-0.216412114,-74.784852931005
5504000000.000000,-0.225348950,-74.789265451873
5505000000.000000,-0.217902067,-74.802262112090
5506000000.000000,-0.213382924,-74.805403848246
5507000000.000000,-0.217799039,-74.823093800950
5508000000.000000,-0.208919327,-74.824557222548
5509000000.000000,-0.208885617,-74.824653320714
5510000000.000000,-0.200699081,-74.833149509049
5511000000.000000,-0.214029436,-74.845194483652
5512000000.000000,-0.204204167,-74.851332938936
5513000000.000000,-0.217319934,-74.859583777974
5514000000.000000,-0.205735294,-74.860687428229
5515000000.000000,-0.198163630,-74.866251488540
5516000000.000000,-0.189176579,-74.875943049752
5517000000.000000,-0.189280801,-74.880755202276
5518000000.000000,-0.195930573,-74.886664302976
5519000000.000000,-0.194144892,-74.889607977524
5520000000.000000,-0.188330983,-74.896989863081
5521000000.000000,-0.172707176,-74.906114718723
5522000000.000000,-0.183720623,-74.911966760787
5523000000.000000,-0.179556838,-74.917010576645
5524000000.000000,-0.180850229,-74.920831451478
5525000000.000000,-0.171142006,-74.927565504872
5526000000.000000,-0.167693870,-74.935926858817
5527000000.000000,-0.173326317,-74.937833452829
5528000000.000000,-0.167018284,-74.943551198507
5529000000.000000,-0.163438105,-74.956414657665
5530000000.000000,-0.165021024,-74.954798751364
5531000000.000000,-0.150649623,-74.962096241847
5532000000.000000,-0.155025762,-74.971446259735
5533000000.000000,-0.149165468,-74.973010945998
5534000000.000000,-0.144751707,-74.980321660530
5535000000.000000,-0.138976703,-74.981929029905
5536000000.000000,-0.138201756,-74.991480858199
5537000000.000000,-0.137332319,-74.999026028187
5538000000.000000,-0.137299717,-75.005898157525
5539000000.000000,-0.127511332,-75.010225641454
5540000000.000000,-0.115378430,-75.015240905261
5541000000.000000,-0.114474638,-75.025262005079
5542000000.000000,-0.112092585,-75.029223439674
5543000000.000000,-0.119790861,-75.036313447186
5544000000.000000,-0.115536989,-75.045996758597
5545000000.000000,-0.107809938,-75.049903787840
5546000000.000000,-0.092812232,-75.063605114784
5547000000.000000,-0.089529453,-75.066996495396
5548000000.000000,-0.089364635,-75.078011742110
5549000000.000000,-0.091238702,-75.083660934746
5550000000.000000,-0.095217257,-75.093127498377
5551000000.000000,-0.072878763,-75.098071963008
5552000000.000000,-0.086084938,-75.110441027284
5553000000.000000,-0.078816494,-75.114792439473
5554000000.000000,-0.074858349,-75.122463700222
5555000000.000000,-0.062495711,-75.136157804881
5556000000.000000,-0.065134578,-75.146279559589
5557000000.000000,-0.057923808,-75.151139804262
5558000000.000000,-0.057268191,-75.160311090104
5559000000.000000,-0.043330720,-75.172267625299
5560000000.000000,-0.054663864,-75.178540104762
5561000000.000000,-0.048243050,-75.195471238357
5562000000.000000,-0.043219817,-75.202359048799
5563000000.000000,-0.035291015,-75.209962910363
5564000000.000000,-0.038233186,-75.230243074505
5565000000.000000,-0.039202878,-75.232908944403
5566000000.000000,-0.018875398,-75.239532440306
5567000000.000000,-0.012650817,-75.260996467324
5568000000.000000,-0.018132224,-75.267478355522
5569000000.000000,-0.004449393,-75.280607299034
5570000000.000000,-0.007497204,-75.290840399072
5571000000.000000,0.002016658,-75.302872292581
5572000000.000000,-0.000157004,-75.318950442242
5573000000.000000,0.008887621,-75.334459559229
5574000000.000000,0.005917295,-75.346823334834
5575000000.000000,0.013095840,-75.361542761635
5576000000.000000,0.012711697,-75.373629027009
5577000000.000000,0.028129967,-75.383497979915
5578000000.000000,0.015409494,-75.400057929714
5579000000.000000,0.025087718,-75.416867531466
5580000000.000000,0.040612510,-75.430136617462
5581000000.000000,0.045127643,-75.440808080295
5582000000.000000,0.036271558,-75.456670241789
5583000000.000000,0.036983050,-75.474636452575
5584000000.000000,0.056531125,-75.489643793406
5585000000.000000,0.044922687,-75.503056179678
5586000000.000000,0.057509283,-75.520693578402
5587000000.000000,0.053524502,-75.538857480623
5588000000.000000,0.056570938,-75.555416151455
5589000000.000000,0.060832284,-75.569275641448
