tap_index,coeff_float
0,-7.199420698837388777e-02
1,-1.081404952811045178e-01
2,-9.845662700861194938e-02
3,1.549081029546377566e-02
4,9.542147615008553241e-02
5,-4.127446482902447783e-02
6,2.055911386431109444e-03
7,-7.001637715225776659e-02
8,1.052789365487617618e-01
9,-3.427778981197048686e-02
10,-3.782773315650546364e-02
11,3.456165309555216114e-02
12,-1.769009071148011647e-02
13,4.616129205308548700e-02
14,-6.997501878597714442e-02
15,2.728337768755733847e-02
16,4.542449281557717905e-02
17,-6.976139835854480720e-02
18,3.957000331862580572e-02
19,-1.207371424120419479e-02
20,9.997946278571936962e-03
21,2.831539597319161685e-03
22,-4.536276108801555462e-02
23,7.387643984501846006e-02
24,-4.151255721562337186e-02
25,-2.798453530192825459e-02
26,6.480026250312294345e-02
27,-4.325128699736189436e-02
28,8.875951719533250669e-03
29,-4.552200145254797076e-03
30,5.962386140001535613e-03
31,3.281105934476441499e-02
32,-8.665861225238198629e-02
33,6.865344911583448617e-02
34,4.512304153870874690e-02
35,-1.452236638307567440e-01
36,1.008795225218033498e-01
37,6.448866455873607240e-02
38,-1.718382597957648084e-01
39,9.162181749707146161e-02
40,9.162181749707146161e-02
41,-1.718382597957648084e-01
42,6.448866455873607240e-02
43,1.008795225218033498e-01
44,-1.452236638307567440e-01
45,4.512304153870874690e-02
46,6.865344911583448617e-02
47,-8.665861225238198629e-02
48,3.281105934476441499e-02
49,5.962386140001535613e-03
50,-4.552200145254797076e-03
51,8.875951719533250669e-03
52,-4.325128699736189436e-02
53,6.480026250312294345e-02
54,-2.798453530192825459e-02
55,-4.151255721562337186e-02
56,7.387643984501846006e-02
57,-4.536276108801555462e-02
58,2.831539597319161685e-03
59,9.997946278571936962e-03
60,-1.207371424120419479e-02
61,3.957000331862580572e-02
62,-6.976139835854480720e-02
63,4.542449281557717905e-02
64,2.728337768755733847e-02
65,-6.997501878597714442e-02
66,4.616129205308548700e-02
67,-1.769009071148011647e-02
68,3.456165309555216114e-02
69,-3.782773315650546364e-02
70,-3.427778981197048686e-02
71,1.052789365487617618e-01
72,-7.001637715225776659e-02
73,2.055911386431109444e-03
74,-4.127446482902447783e-02
75,9.542147615008553241e-02
76,1.549081029546377566e-02
77,-9.845662700861194938e-02
78,-1.081404952811045178e-01
79,-7.199420698837388777e-02
