combo_folder,tap_num,regularization,coeff_total_bits,coeff_frac_bits,fixed_format,run_name,h1_ripple_db,float_dense_ripple_db,float_dense_pass_0p1db,max_abs_coeff,fixed_saturation_count,fixed_dense_ripple_db,fixed_dense_pass_0p1db,behavior_float_ripple_db,behavior_fixed_ripple_db,behavior_fixed_pass_0p1db,qam_float_magnitude_only_evm_percent,qam_fixed_magnitude_only_evm_percent
tap064_reg1em04_q2_14,64,0.0001,16,14,Q2.14,h1_full_combined_random_20260528_024017,0.7584381726751868,0.19185256781440246,False,1.3469269256486682,0,0.19193249490049413,False,0.17982041021367673,0.1798875833946078,False,0.3703197541353163,0.3702804502821237
tap064_reg1em04_q3_13,64,0.0001,16,13,Q3.13,h1_full_combined_random_20260528_024031,0.7584381726751868,0.19185256781440246,False,1.3469269256486682,0,0.19168224943255463,False,0.17982041021367673,0.17971676057845737,False,0.3703197541353163,0.37048048200398725
tap064_reg1em04_q4_12,64,0.0001,16,12,Q4.12,h1_full_combined_random_20260528_024045,0.7584381726751868,0.19185256781440246,False,1.3469269256486682,0,0.19080457456390953,False,0.17982041021367673,0.17857732119616038,False,0.3703197541353163,0.37705519336543053
tap064_reg3em04_q2_14,64,0.0003,16,14,Q2.14,h1_full_combined_random_20260528_024058,0.7584381726751868,0.19688973513366637,False,0.6027489005932865,0,0.1977796907033859,False,0.1840737423605591,0.1847900700081937,False,0.38401469483631745,0.3840738376428417
tap064_reg3em04_q3_13,64,0.0003,16,13,Q3.13,h1_full_combined_random_20260528_024110,0.7584381726751868,0.19688973513366637,False,0.6027489005932865,0,0.19725693668970556,False,0.1840737423605591,0.18437569765238293,False,0.38401469483631745,0.38721435280504524
tap064_reg3em04_q4_12,64,0.0003,16,12,Q4.12,h1_full_combined_random_20260528_024124,0.7584381726751868,0.19688973513366637,False,0.6027489005932865,0,0.19399813405751604,False,0.1840737423605591,0.18140199250386319,False,0.38401469483631745,0.3908119256419042
tap064_reg1em03_q2_14,64,0.001,16,14,Q2.14,h1_full_combined_random_20260528_024143,0.7584381726751868,0.20009643659641121,False,0.3973287051924952,0,0.19987111513387926,False,0.1868133318406181,0.18661345739528024,False,0.3913745485541176,0.3917942306325338
tap064_reg1em03_q3_13,64,0.001,16,13,Q3.13,h1_full_combined_random_20260528_024156,0.7584381726751868,0.20009643659641121,False,0.3973287051924952,0,0.20111992794674316,False,0.1868133318406181,0.18765562743080355,False,0.3913745485541176,0.39112083291079797
tap064_reg1em03_q4_12,64,0.001,16,12,Q4.12,h1_full_combined_random_20260528_024210,0.7584381726751868,0.20009643659641121,False,0.3973287051924952,0,0.20533761976827064,False,0.1868133318406181,0.1913419128526324,False,0.3913745485541176,0.39530277423901117
tap080_reg1em04_q2_14,80,0.0001,16,14,Q2.14,h1_full_combined_random_20260528_024223,0.7584381726751868,0.15683342003488338,False,0.6144289742149629,0,0.15663344251854613,False,0.150093939387591,0.14992305877640583,False,0.2983175876359554,0.2984555558448765
tap080_reg1em04_q3_13,80,0.0001,16,13,Q3.13,h1_full_combined_random_20260528_024236,0.7584381726751868,0.15683342003488338,False,0.6144289742149629,0,0.15896539969803344,False,0.150093939387591,0.151866846074734,False,0.2983175876359554,0.2999226395980281
tap080_reg1em04_q4_12,80,0.0001,16,12,Q4.12,h1_full_combined_random_20260528_024249,0.7584381726751868,0.15683342003488338,False,0.6144289742149629,0,0.1556619156180851,False,0.150093939387591,0.14805762264358968,False,0.2983175876359554,0.30157666918818743
tap080_reg3em04_q2_14,80,0.0003,16,14,Q2.14,h1_full_combined_random_20260528_024302,0.7584381726751868,0.15608595188536514,False,0.3923314545877723,0,0.1570465827088742,False,0.14895005641536518,0.15011457975438758,False,0.30112943335918446,0.30133045269028164
tap080_reg3em04_q3_13,80,0.0003,16,13,Q3.13,h1_full_combined_random_20260528_024316,0.7584381726751868,0.15608595188536514,False,0.3923314545877723,0,0.15787561431013442,False,0.14895005641536518,0.15028569177600903,False,0.30112943335918446,0.3020313061285718
tap080_reg3em04_q4_12,80,0.0003,16,12,Q4.12,h1_full_combined_random_20260528_024329,0.7584381726751868,0.15608595188536514,False,0.3923314545877723,0,0.15739957545438607,False,0.14895005641536518,0.15054876805865253,False,0.30112943335918446,0.3132162638787712
tap080_reg1em03_q2_14,80,0.001,16,14,Q2.14,h1_full_combined_random_20260528_024341,0.7584381726751868,0.15896871040331628,False,0.33152313730063226,0,0.1596748723753854,False,0.15140273162663437,0.15210767119162727,False,0.3049368913709768,0.30507040444337935
tap080_reg1em03_q3_13,80,0.001,16,13,Q3.13,h1_full_combined_random_20260528_024355,0.7584381726751868,0.15896871040331628,False,0.33152313730063226,0,0.157657253756476,False,0.15140273162663437,0.15011041837676595,False,0.3049368913709768,0.306621801829876
tap080_reg1em03_q4_12,80,0.001,16,12,Q4.12,h1_full_combined_random_20260528_024408,0.7584381726751868,0.15896871040331628,False,0.33152313730063226,0,0.1597687304381907,False,0.15140273162663437,0.1521797752057259,False,0.3049368913709768,0.315150520094344
tap096_reg1em04_q2_14,96,0.0001,16,14,Q2.14,h1_full_combined_random_20260528_024422,0.7584381726751868,0.14423227426339177,False,0.388628526096084,0,0.14450672537866505,False,0.14033239404649644,0.14065846403266558,False,0.26323087372774384,0.2635615855826337
tap096_reg1em04_q3_13,96,0.0001,16,13,Q3.13,h1_full_combined_random_20260528_024435,0.7584381726751868,0.14423227426339177,False,0.388628526096084,0,0.14402819454186483,False,0.14033239404649644,0.13997966778851675,False,0.26323087372774384,0.2652271215180346
tap096_reg1em04_q4_12,96,0.0001,16,12,Q4.12,h1_full_combined_random_20260528_024448,0.7584381726751868,0.14423227426339177,False,0.388628526096084,0,0.14363221373047544,False,0.14033239404649644,0.13978625484034243,False,0.26323087372774384,0.26497322149476094
tap096_reg3em04_q2_14,96,0.0003,16,14,Q2.14,h1_full_combined_random_20260528_024501,0.7584381726751868,0.14585372576711952,False,0.2831936682352396,0,0.14511144108098092,False,0.1416635270543198,0.1410204904775297,False,0.26505120570287605,0.26587581979346386
tap096_reg3em04_q3_13,96,0.0003,16,13,Q3.13,h1_full_combined_random_20260528_024516,0.7584381726751868,0.14585372576711952,False,0.2831936682352396,0,0.143176901949633,False,0.1416635270543198,0.13918807768144828,False,0.26505120570287605,0.26640410199719367
tap096_reg3em04_q4_12,96,0.0003,16,12,Q4.12,h1_full_combined_random_20260528_024530,0.7584381726751868,0.14585372576711952,False,0.2831936682352396,0,0.1415766299328268,False,0.1416635270543198,0.13720331429745963,False,0.26505120570287605,0.2713309590711665
tap096_reg1em03_q2_14,96,0.001,16,14,Q2.14,h1_full_combined_random_20260528_024543,0.7584381726751868,0.14906506964301303,False,0.20231299701226024,0,0.14808792783509062,False,0.14436818331013065,0.14349124715507344,False,0.2688160063582282,0.26935202877417436
tap096_reg1em03_q3_13,96,0.001,16,13,Q3.13,h1_full_combined_random_20260528_024558,0.7584381726751868,0.14906506964301303,False,0.20231299701226024,0,0.15023129245758224,False,0.14436818331013065,0.14532820888367473,False,0.2688160063582282,0.2700253185536952
tap096_reg1em03_q4_12,96,0.001,16,12,Q4.12,h1_full_combined_random_20260528_024612,0.7584381726751868,0.14906506964301303,False,0.20231299701226024,0,0.1485663813265424,False,0.14436818331013065,0.14384850000344904,False,0.2688160063582282,0.27572333876960803
