tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.419002711967e-02,4.302037124407e-02,4.426208305121e-02,4.427031089424e-02,-0.233002286,0.014151613,0.015766076,-1.466228526834,2.851614147361,0.848043490784,0.848043490784,-1.965342632984,-2.003570656577,-2.003570656577,2.314272017618,2.314272017618
1,3567993164.062500,4.419002711967e-02,4.338055999579e-02,4.415383969761e-02,4.416127576324e-02,-0.160582282,-0.007115830,-0.005653139,-2.018989483112,2.414636469367,0.115103394528,0.115103394528,-1.849559354700,-2.299533074840,-2.299533074840,2.134092877639,2.134092877639
2,3586120605.468750,4.419002711967e-02,4.378803998333e-02,4.414207880728e-02,4.414846913246e-02,-0.079375242,-0.009429726,-0.008172385,-0.505481743176,4.044804034511,1.446288516733,1.446288516733,-1.732899529492,-2.598515517779,-2.598515517779,1.951770259909,1.951770259909
3,3604064941.406250,4.419002711967e-02,4.407071798240e-02,4.411681000059e-02,4.412191090936e-02,-0.023482843,-0.014403323,-0.013399095,-3.021963840091,1.638890385286,-1.255587550755,-1.255587550755,-1.622331081802,-2.894477936041,-2.894477936041,1.766376289336,1.766376289336
4,3622009277.343750,4.419002711968e-02,4.427782366002e-02,4.414213466658e-02,4.414573641716e-02,0.017239965,-0.009418735,-0.008710044,-0.730847107533,4.031905326930,0.841464972626,0.841464972626,-1.520432872717,-3.190440354304,-3.190440354304,1.572312080158,1.572312080158
5,3639953613.281250,4.419002711967e-02,4.437265043396e-02,4.417000344562e-02,4.417194614172e-02,0.035822047,-0.003936699,-0.003554683,-3.641193369700,1.226968935300,-2.259433837267,-2.259433837267,-1.415023002179,-3.486402772567,-3.486402772567,1.381759532433,1.381759532433
6,3658081054.687500,4.419002711967e-02,4.440747299258e-02,4.422076366817e-02,4.422093842796e-02,0.042635845,0.006039405,0.006073731,-1.874287537636,3.090268742406,-0.695116473099,-0.695116473099,-1.318629027137,-3.785385215506,-3.785385215506,1.179171064537,1.179171064537
7,3676025390.625000,4.419002711967e-02,4.440186822884e-02,4.427087587841e-02,4.426928149730e-02,0.041539511,0.015876926,0.015564104,-1.259120606348,3.790807167297,-0.290540466471,-0.290540466471,-1.233257533534,-4.081347633768,-4.081347633768,0.968580139877,0.968580139877
8,3693969726.562500,4.419002711969e-02,4.438629157109e-02,4.430795941433e-02,4.430464954009e-02,0.038491872,0.023149623,0.022500749,-1.417135220509,3.692782133327,-0.684527918704,-0.684527918704,-1.173267953343,-4.377310052031,-4.377310052031,0.732607301805,0.732607301805
9,3712097167.968750,4.419002711966e-02,4.433183892693e-02,4.426781753727e-02,4.426290579676e-02,0.027829571,0.015276862,0.014313065,-0.007447083739,5.133116560121,0.456824065151,0.456824065151,-1.142621663319,-4.676292494970,-4.676292494970,0.464271148890,0.464271148890
10,3730041503.906250,4.419002711967e-02,4.435038984964e-02,4.423873498794e-02,4.423242442893e-02,0.031463473,0.009568634,0.008329522,-1.738386515516,3.413619475519,-1.558635437714,-1.558635437714,-1.131179316146,-4.972254913232,-4.972254913232,0.179751077802,0.179751077802
11,3747985839.843750,4.419002711967e-02,4.439598731490e-02,4.416647827155e-02,4.415901920828e-02,0.040389011,-0.004629941,-0.006096983,-1.351434867327,3.797363893221,-1.470853438274,-1.470853438274,-1.134386546632,-5.268217331495,-5.268217331495,-0.119418570947,-0.119418570947
12,3765930175.781250,4.419002711967e-02,4.454429406481e-02,4.413115913427e-02,4.412284093739e-02,0.069356251,-0.011578669,-0.013216010,1.062050447942,6.217797481904,0.653617732146,0.653617732146,-1.127438273218,-5.564179749758,-5.564179749758,-0.408432715797,-0.408432715797
13,3784057617.187500,4.419002711967e-02,4.470148715629e-02,4.405351015110e-02,4.404467843474e-02,0.099954073,-0.026874994,-0.028616490,2.781448782397,7.963930618127,2.100768425431,2.100768425431,-1.100703471449,-5.863162192697,-5.863162192697,-0.680680356966,-0.680680356966
14,3802001953.125000,4.419002711968e-02,4.499117607087e-02,4.408488211819e-02,4.407590080240e-02,0.156061554,-0.020691685,-0.022461422,4.613383633905,9.852405989993,3.693281379034,3.693281379034,-1.044162951092,-6.159124610959,-6.159124610959,-0.920102254871,-0.920102254871
15,3819946289.062500,4.419002711968e-02,4.523882880152e-02,4.408041233924e-02,4.407169289405e-02,0.203741695,-0.021572395,-0.023290700,6.528401971383,11.865061481082,5.409974451860,5.409974451860,-0.946525797481,-6.455087029222,-6.455087029222,-1.118427519523,-1.118427519523
16,3837890625.000000,4.419002711967e-02,4.552897511213e-02,4.415196642025e-02,4.414390817949e-02,0.259272121,-0.007484347,-0.009069766,4.099669994766,9.567921086097,2.816871638612,2.816871638612,-0.814934215848,-6.751049447485,-6.751049447485,-1.282798356154,-1.282798356154
17,3856018066.406250,4.419002711967e-02,4.575711547102e-02,4.422176016842e-02,4.421478079762e-02,0.302687413,0.006235136,0.004864164,6.986648854046,12.619852430996,5.569820540572,5.569820540572,-0.649981730230,-7.050031890424,-7.050031890424,-1.416828313474,-1.416828313474
18,3873962402.343750,4.419002711967e-02,4.592434615368e-02,4.431166672117e-02,4.430612419723e-02,0.334374274,0.023876352,0.022789849,8.798907696722,14.605280784412,7.259286475726,7.259286475726,-0.476812219489,-7.345994308686,-7.345994308686,-1.539621220996,-1.539621220996
19,3891906738.281250,4.419002711967e-02,4.594363421894e-02,4.434324324462e-02,4.433945560284e-02,0.338021551,0.030063719,0.029321770,7.319283157571,13.292057744588,5.650101017639,5.650101017639,-0.310410720162,-7.641956726949,-7.641956726949,-1.669182139932,-1.669182139932
20,3910034179.687500,4.419002711967e-02,4.587309510768e-02,4.437044788750e-02,4.436866672044e-02,0.324675507,0.035390891,0.035042205,8.993349922814,15.113980411711,7.173041241824,7.173041241824,-0.162554818282,-7.940939169888,-7.940939169888,-1.820308680990,-1.820308680990
21,3927978515.625000,4.419002711967e-02,4.566653542015e-02,4.433335507415e-02,4.433369736417e-02,0.285475924,0.028126623,0.028193685,9.141030436148,15.374532243260,7.137630655110,7.137630655110,-0.049683500068,-8.236901588150,-8.236901588150,-2.003399781038,-2.003399781038
22,3945922851.562500,4.419002711968e-02,4.541714237150e-02,4.430293199071e-02,4.430542993516e-02,0.237910740,0.022164018,0.022653743,9.581480601262,15.897540932132,7.364676925719,7.364676925719,0.032875023691,-8.532864006413,-8.532864006413,-2.216803675543,-2.216803675543
23,3963867187.500000,4.419002711968e-02,4.504312299972e-02,4.417646872861e-02,4.418104670551e-02,0.166084519,-0.002665415,-0.001765349,6.854398678866,13.221538659602,4.392712234926,4.392712234926,0.083954673556,-8.828826424676,-8.828826424676,-2.461686443940,-2.461686443940
24,3981994628.906250,4.419002711967e-02,4.468336676911e-02,4.407003838051e-02,4.407655184694e-02,0.096432410,-0.023616787,-0.022333124,6.014458459388,12.408421334731,3.280612467116,3.280612467116,0.110777568163,-9.127808867615,-9.127808867615,-2.733845992272,-2.733845992272
25,3999938964.843750,4.419002711967e-02,4.432810286838e-02,4.395120573385e-02,4.395938585660e-02,0.027097538,-0.047069486,-0.045453034,4.093865714090,10.508419399766,1.084648113889,1.084648113889,0.131368378497,-9.423771285877,-9.423771285877,-3.009217600201,-3.009217600201
26,4017883300.781250,4.419002711968e-02,4.410301217324e-02,4.393545739413e-02,4.394501215723e-02,-0.017120318,-0.050182321,-0.048293583,4.610877349713,11.054742721556,1.335009017416,1.335009017416,0.160680064663,-9.719733704140,-9.719733704140,-3.275868332297,-3.275868332297
27,4036010742.187500,4.419002711967e-02,4.394471054628e-02,4.395669207691e-02,4.396727639919e-02,-0.048353197,-0.045985311,-0.043894090,1.890806858129,8.379905527945,-1.638810619133,-1.638810619133,0.205913362637,-10.018716147079,-10.018716147079,-3.529617477262,-3.529617477262
