tone_index,fft_bin,freq_hz,phase_rad
0,19388,3550048828.125000,0.202742570384
1,19486,3567993164.062500,3.527885045882
2,19585,3586120605.468750,2.611567217813
3,19683,3604064941.406250,3.972988552672
4,19781,3622009277.343750,3.858823409826
5,19879,3639953613.281250,4.826380579430
6,19978,3658081054.687500,4.163460843488
7,20076,3676025390.625000,2.373345899372
8,20174,3693969726.562500,6.093234716983
9,20273,3712097167.968750,5.073097285744
10,20371,3730041503.906250,0.936875978563
11,20469,3747985839.843750,5.201731058526
12,20567,3765930175.781250,5.209934498391
13,20666,3784057617.187500,4.499507264833
14,20764,3802001953.125000,3.926160240934
15,20862,3819946289.062500,3.435896703005
16,20960,3837890625.000000,4.885068158165
17,21059,3856018066.406250,5.342221449435
18,21157,3873962402.343750,4.749198416699
19,21255,3891906738.281250,0.864292002150
20,21354,3910034179.687500,0.108533199381
21,21452,3927978515.625000,4.134117144501
22,21550,3945922851.562500,2.169285434203
23,21648,3963867187.500000,3.320106943586
24,21747,3981994628.906250,0.050341156098
25,21845,3999938964.843750,2.007651842568
26,21943,4017883300.781250,0.119381602791
27,22042,4036010742.187500,1.252670850379
28,22140,4053955078.125000,5.466796079364
29,22238,4071899414.062500,6.263607536917
30,22336,4089843750.000000,0.810660655716
31,22435,4107971191.406250,2.073511853364
32,22533,4125915527.343750,4.105288623662
33,22631,4143859863.281250,0.311506171438
34,22730,4161987304.687500,1.407843705948
35,22828,4179931640.625000,4.673340391306
36,22926,4197875976.562500,2.160778483747
37,23024,4215820312.500000,3.109365736152
38,23123,4233947753.906250,5.693705927547
39,23221,4251892089.843750,1.613824740353
40,23319,4269836425.781250,1.904293980927
41,23417,4287780761.718750,1.568126742681
42,23516,4305908203.125000,0.268030443331
43,23614,4323852539.062500,0.216077782893
44,23712,4341796875.000000,2.142717152349
45,23811,4359924316.406250,0.428833191339
46,23909,4377868652.343750,4.310895338397
47,24007,4395812988.281250,0.340474648295
48,24105,4413757324.218750,3.944533054673
49,24204,4431884765.625000,1.795873557251
50,24302,4449829101.562500,2.428023214399
