tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,-3.471329564789746858e-01,-2844,-3.471679687500000000e-01,-3.501227102531423441e-05,0
1,-1.271873335383614523e-01,-1042,-1.271972656250000000e-01,-9.932086638547721336e-06,0
2,-3.592630975721052278e-01,-2943,-3.592529296875000000e-01,1.016788460522777271e-05,0
3,6.027489005932864519e-01,4938,6.027832031250000000e-01,3.430253171354813446e-05,0
4,-2.828528101832533670e-01,-2317,-2.828369140625000000e-01,1.589612075336699348e-05,0
5,3.120515822226206382e-01,2556,3.120117187500000000e-01,-3.986347262063816288e-05,0
6,-5.735394646299732946e-01,-4698,-5.734863281250000000e-01,5.313650497329458489e-05,0
7,4.180449686623517458e-01,3425,4.180908203125000000e-01,4.585165014825420826e-05,0
8,-3.477642592211895034e-02,-285,-3.479003906250000000e-02,-1.361314038104965984e-05,0
9,-6.590558882121534678e-02,-540,-6.591796875000000000e-02,-1.237992878465321578e-05,0
10,8.627784811519913222e-03,71,8.666992187500000000e-03,3.920737598008677827e-05,0
11,-1.435754516338727804e-01,-1176,-1.435546875000000000e-01,2.076413387278042144e-05,0
12,3.353844374386692473e-01,2747,3.353271484375000000e-01,-5.728900116924728891e-05,0
13,-2.750859683106989251e-01,-2254,-2.751464843750000000e-01,-6.051606430107492329e-05,0
14,5.246997684871657769e-02,430,5.249023437500000000e-02,2.025752628342231132e-05,0
15,5.437032951377115952e-02,445,5.432128906250000000e-02,-4.904045127115952418e-05,0
16,-4.902825052234648096e-02,-402,-4.907226562500000000e-02,-4.401510265351904483e-05,0
17,1.027360300447423547e-01,842,1.027832031250000000e-01,4.717308025764532786e-05,0
18,-1.938303500921298994e-01,-1588,-1.938476562500000000e-01,-1.730615787010059137e-05,0
19,1.747798478104776732e-01,1432,1.748046875000000000e-01,2.483968952232684657e-05,0
20,-5.340198297022655249e-02,-437,-5.334472656250000000e-02,5.725640772655249400e-05,0
21,-4.320894013758391772e-02,-354,-4.321289062500000000e-02,-3.950487416082282266e-06,0
22,8.345499476377056525e-02,684,8.349609375000000000e-02,4.109898622943475299e-05,0
23,-1.150259818861497363e-01,-942,-1.149902343750000000e-01,3.574751114973628852e-05,0
24,1.259688103030779383e-01,1032,1.259765625000000000e-01,7.752196922061749262e-06,0
25,-8.843768771264148842e-02,-724,-8.837890625000000000e-02,5.878146264148842448e-05,0
26,5.197231156706874633e-02,426,5.200195312500000000e-02,2.964155793125367033e-05,0
27,-4.136446004049891545e-02,-339,-4.138183593750000000e-02,-1.737589700108455038e-05,0
28,-3.816386154040352779e-02,-313,-3.820800781250000000e-02,-4.414627209647220552e-05,0
29,2.257996369594744146e-01,1850,2.258300781250000000e-01,3.044116552558540079e-05,0
30,-3.348497229551391507e-01,-2743,-3.348388671875000000e-01,1.085576763915074849e-05,0
31,1.658557225364450938e-01,1359,1.658935546875000000e-01,3.783215105490622676e-05,0
32,1.658557225364450938e-01,1359,1.658935546875000000e-01,3.783215105490622676e-05,0
33,-3.348497229551391507e-01,-2743,-3.348388671875000000e-01,1.085576763915074849e-05,0
34,2.257996369594744146e-01,1850,2.258300781250000000e-01,3.044116552558540079e-05,0
35,-3.816386154040352779e-02,-313,-3.820800781250000000e-02,-4.414627209647220552e-05,0
36,-4.136446004049891545e-02,-339,-4.138183593750000000e-02,-1.737589700108455038e-05,0
37,5.197231156706874633e-02,426,5.200195312500000000e-02,2.964155793125367033e-05,0
38,-8.843768771264148842e-02,-724,-8.837890625000000000e-02,5.878146264148842448e-05,0
39,1.259688103030779383e-01,1032,1.259765625000000000e-01,7.752196922061749262e-06,0
40,-1.150259818861497363e-01,-942,-1.149902343750000000e-01,3.574751114973628852e-05,0
